AKBLIG-RXN	EG10512
DEOXYADENPHOSPHOR-RXN	EG10222
3.2.1.52-RXN	G6567
ACETOLACTREDUCTOISOM-RXN	EG10495
GUANOSINE-DIPHOSPHATASE-RXN	G6580
RXN-11480	EG11318
2.4.1.56-RXN	EG11423
RXN-11484	EG10121
RXN-11483	EG10122
P-PANTOCYSLIG-RXN	EG10004
RXN-11482	EG11528
RXN-11481	EG11284
RHAMNULOKIN-RXN	EG11868
MALTODEG-RXN	EG10561
TRANS-RXN-241	G7254
TRANS-RXN-242	EG11469
TRANS-RXN-242	EG12134
TRANS-RXN-244	EG11468
TRANS-RXN-244	EG12134
RXN-11496	EG10754
TREHALOSE6PSYN-RXN	EG11751
H2PTEROATESYNTH-RXN	EG50011
CPM-KDOSYNTH-RXN	EG10519
MCPTAR-RXN	EG10147
TRANS-RXN-94A	EG10578
TRANS-RXN-94B	EG10578
SAICARSYN-RXN	EG10791
AMYLOMALT-RXN	EG10561
TRANS-RXN-62B	EG12504
ATPPHOSPHORIBOSYLTRANS-RXN	EG10449
TRANS-RXN-62A	EG12504
ABC-8-RXN	EG12627
ABC-8-RXN	EG12628
ABC-8-RXN	EG10248
ABC-8-RXN	EG12625
ABC-8-RXN	EG12626
RXN-11478	EG11528
RXN-11479	EG10274
URIDINE-NUCLEOSIDASE-RXN	EG11082
URIDINE-NUCLEOSIDASE-RXN	EG12030
URIDINE-NUCLEOSIDASE-RXN	G6358
RXN0-4281	G7558
RXN0-4281	G6967
RXN0-4281	EG11648
RXN0-4281	G7565
1.1.1.271-RXN	EG11788
RXN-982	EG12237
NAG6PDEACET-RXN	EG10632
RXN-11475	EG10119
RXN-11474	EG10277
DADPKIN-RXN	EG10650
RXN-11477	EG11284
RXN-11476	EG11318
GALACTOKIN-RXN	EG10363
RXN0-3201	EG10968
ASPDECARBOX-RXN	EG11747
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EG10273
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EG11284
RXN-5741	EG11679
2.3.1.179-RXN	EG12606
PNP-RXN	EG10222
2-DEHYDROPANTOATE-REDUCT-RXN	G6239
MHPELY-RXN	G6205
PHENDEHYD-RXN	G7961
1.8.4.12-RXN	EG12394
RXN0-4961	EG10243
RXN0-4961	EG10747
RXN0-4961	EG10746
NQOR-RXN	EG11540
NQOR-RXN	EG11723
NQOR-RXN	EG11568
1.1.1.262-RXN	EG10691
OHMETPYRKIN-RXN	G7259
OHMETPYRKIN-RXN	G7135
RXN-12611	EG11586
INOSINE-NUCLEOSIDASE-RXN	EG11082
PDXJ-RXN	EG10693
NUCLEOSIDE-DIPHOSPHATASE-RXN	EG12298
ABC-9-RXN	EG10290
ABC-9-RXN	EG10289
