AKBLIG-RXN	EG10512
ABC-9-RXN	EG10288
ABC-9-RXN	EG10287
HEMN-RXN	EG11836
3.4.11.1-RXN	EG10694
RXN0-2721	EG12450
RXN-7968	EG11234
RXN-7967	EG11234
RIBOFLAVIN-SYN-RXN	EG11406
ISOLEUCINE--TRNA-LIGASE-RXN	EG10492
RXN-12104	G7843
NANE-RXN	G7677
TRANS-RXN-250	EG12525
RXN0-1565	EG10272
RXN0-1565	EG11012
RXN0-1565	EG10271
RXN0-1565	EG10126
THI-P-KIN-RXN	G6234
DALADEHYDROG-RXN	EG11407
ABC-70-RXN	EG10195
ABC-70-RXN	EG10197
ABC-70-RXN	EG10198
ABC-70-RXN	EG10183
ABC-70-RXN	EG10929
MERCAPYSTRANS-RXN	EG11600
TRANS-RXN-262	G6764
TRANS-RXN-261	G6786
RXN-12120	EG10511
RXN0-6452	G6520
TRANS-RXN-108A	EG11971
RXN0-1139	EG11796
TRANS-RXN-108B	EG11971
RXN0-1138	EG11591
RXN0-1137	EG11591
TRANS-RXN-108E	EG11971
TRANS-RXN-108F	EG11971
RXN0-6461	G6521
TRANS-RXN-108C	EG11971
RXN0-6460	G6522
TRANS-RXN-108D	EG11971
TRANS-RXN-108I	EG11971
RXN0-1130	EG11591
TRANS-RXN-108G	EG11971
RIBONUCLEOSIDE-TRIP-REDUCT-RXN	EG11417
RXN-8675	EG10188
TRANS-RXN-108H	EG11971
RXN0-1134	EG10024
RXN0-3241	EG12407
RXN0-3241	G7925
RXN0-1133	EG10025
TYROSINE--TRNA-LIGASE-RXN	EG11043
RXN0-1132	EG10543
3-OXOACYL-ACP-REDUCT-RXN	EG11318
RXNMETA-12672	G6708
RXN0-6444	G6523
RXN0-6445	G6577
RXN0-1147	EG10980
GALACTONDEHYDRAT-RXN	GB4478
TRYPSYN-RXN	EG11025
TRYPSYN-RXN	EG11024
GLY3KIN-RXN	G6283
RXN0-6451	G6522
RXNMETA-12671	G6708
RXN0-1140	EG11796
YIAE1-RXN	EG12272
RXN0-1141	EG11796
DETHIOBIOTIN-SYN-RXN	EG10120
RXN0-5398	EG12033
RXN0-6478	EG10859
RXN0-6479	EG10743
RXN0-6479	EG11620
FORMATEDEHYDROG-RXN	EG11857
FORMATEDEHYDROG-RXN	EG11229
FORMATEDEHYDROG-RXN	EG11858
FORMATEDEHYDROG-RXN	EG11228
FORMATEDEHYDROG-RXN	EG11227
FORMATEDEHYDROG-RXN	EG11856
RXN0-6484	EG11547
RXN0-6484	EG10858
TRANS-RXN-106D	EG11225
TRANS-RXN-106D	EG10006
TRANS-RXN-106D	G6347
RXN0-6483	EG11547
RXN0-6483	EG10858
TRANS-RXN-106A	EG11225
TRANS-RXN-106A	EG10006
TRANS-RXN-106A	G6347
RXN0-6482	EG10863
TRANS-RXN-106B	EG11225
TRANS-RXN-106B	EG10006
TRANS-RXN-106B	G6347
RXN0-6481	EG10863
RXN0-6480	EG30069
RXN0-6480	EG10862
RXN0-3221	EG10436
RXN0-3221	EG10435
RXN0-3221	EG11506
RXN-8655	EG11796
RXN-8654	EG11796
ACSERLY-RXN	EG10192
ACSERLY-RXN	EG10193
O-SUCCHOMOSERLYASE-RXN	EG10582
CDPKIN-RXN	EG10650
SERINE-O-ACETTRAN-RXN	EG10187
HYPOXANPRIBOSYLTRAN-RXN	EG20098
HYPOXANPRIBOSYLTRAN-RXN	EG10414
RXN-8668	EG11433
ASPARTATE--TRNA-LIGASE-RXN	EG10097
2.7.1.121-RXN	EG12399
2.7.1.121-RXN	G6627
2.7.1.121-RXN	G6626
6PGLUCONDEHYDROG-RXN	EG10411
SUGAR-PHOSPHATASE-RXN	G6425
SUGAR-PHOSPHATASE-RXN	EG11470
SUGAR-PHOSPHATASE-RXN	G7187
SUGAR-PHOSPHATASE-RXN	EG11195
GUANINE-DEAMINASE-RXN	G7502
RXN0-5375	G6731
GUANYL-KIN-RXN	EG10965
TRYPTOPHAN-RXN	EG11005
RXN0-5383	G7146
DIOHBUTANONEPSYN-RXN	EG10465
2.7.9.3-RXN	EG10943
DGDPKIN-RXN	EG10650
AMACETOXID-RXN	EG13139
RXN0-6485	EG10859
RXN-1961	G6096
RXN0-6487	G7564
RXN0-5387	G7868
RXN0-5388	EG12088
RXN0-5388	EG12087
RXN0-5388	EG12089
RXN0-5388	EG12084
RXN0-5388	EG12083
RXN0-5388	EG12086
RXN0-5388	EG12093
RXN0-5388	EG12092
RXN0-5388	EG12091
RXN0-5388	EG12082
RXN0-5388	EG12090
RXN0-5388	EG11773
RXN0-5388	EG11774
RXN0-3283	G7306
RXN0-3283	EG11150
RXN0-3283	G7305
RXN0-3283	G7302
RXN0-3283	G7301
RXN0-3283	G7304
RXN0-3283	G7303
RXN0-3283	EG11282
RXN0-3283	G7300
TRANS-RXN-181A	EG12539
SHIKIMATE-5-DEHYDROGENASE-RXN	EG10077
RXN0-3281	EG10285
2.7.7.61-RXN	G6340
2-ISOPROPYLMALATESYN-RXN	EG11226
RXN0-5393	EG10279
3.6.1.19-RXN	EG10572
RXN0-5395	G7599
RXN0-6491	EG10807
RXN0-5391	EG10279
RXN0-5390	G6244
RXN0-5359	G6783
RXN0-5359	EG11643
RXN0-5359	G6532
RXN0-5359	G6784
RXN0-5359	G6980
3.4.13.21-RXN	EG11920
OHMETHYLBILANESYN-RXN	EG10429
DURIDKI-RXN	EG10994
FABAUNSATDEHYDR-RXN	EG10273
2.3.1.157-RXN	EG11198
CHEBTARD-RXN	EG10147
ABC-10-RXN	EG10294
ABC-10-RXN	EG10295
ABC-10-RXN	EG10296
ABC-10-RXN	EG10298
2.5.1.19-RXN	EG10073
RXN0-5361	EG12096
2.4.1.58-RXN	EG11353
RXN0-5363	EG10527
RXN0-5364	EG12387
PANTOTHENATE-KIN-RXN	EG10922
GDPREDUCT-RXN	EG10661
GDPREDUCT-RXN	EG10660
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	EG11324
RXN0-3261	EG10488
AMINEOXID-RXN	EG13139
3.1.13.1-RXN	EG11259
3.1.13.1-RXN	EG11620
ABC-14-RXN	EG12124
ABC-14-RXN	EG12125
ABC-14-RXN	EG10007
ABC-14-RXN	EG10452
HISTCYCLOHYD-RXN	EG10451
TRANS-RXN0-201	G6338
TRANS-RXN0-200	EG11873
TRANS-RXN0-200	G6393
TRANS-RXN0-202	EG11504
TRANS-RXN0-202	EG11621
TRANS-RXN0-202	EG11737
3.4.13.22-RXN	G6782
TRANS-RXN0-207	G6260
TRANS-RXN0-206	EG11821
TRANS-RXN0-209	EG12563
TRANS-RXN0-209	EG12631
TRANS-RXN0-209	EG12539
TRANS-RXN0-209	EG12380
KDOTRANS-RXN	EG10520
RXN-9311	EG11110
RXN-9310	EG12438
CYCPHOSDIESTER-RXN	EG10160
RIBOFLAVINKIN-RXN	EG11079
LACTALDDEHYDROG-RXN	EG10035
RNA-3-PHOSPHATE-CYCLASE-RXN	G7750
RXN0-5330	EG10649
ACETATE--COA-LIGASE-RXN	EG11448
5-FORMYL-THF-CYCLO-LIGASE-RXN	EG11158
PREPHENATEDEHYDRAT-RXN	EG10707
INOPHOSPHOR-RXN	EG10222
INOPHOSPHOR-RXN	G85
HOMOCYSMETB12-RXN	EG10587
GLUCARDEHYDRA-RXN	G7445
TRANS-RXN0-502	EG11054
TRANS-RXN0-501	EG11054
RXN0-5329	G7920
SUCCCOASYN-RXN	EG10981
SUCCCOASYN-RXN	EG10982
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	EG11289
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	G7145
TRANS-RXN0-504	EG10554
TRANS-RXN0-504	EG10558
TRANS-RXN0-504	EG10556
TRANS-RXN0-504	EG10555
TRANS-RXN0-503	EG10554
TRANS-RXN0-503	EG10558
TRANS-RXN0-503	EG10556
TRANS-RXN0-503	EG10555
TRANS-RXN0-505	EG10802
FADSYN-RXN	EG11079
PHENYLALANINE--TRNA-LIGASE-RXN	EG10709
PHENYLALANINE--TRNA-LIGASE-RXN	EG10710
ADENPHOSPHOR-RXN	EG10222
ABC-4-RXN	EG12125
ABC-4-RXN	EG11628
ABC-4-RXN	EG11626
ABC-4-RXN	EG10007
ABC-4-RXN	EG10452
ABC-4-RXN	EG11627
ABC-4-RXN	EG11624
ABC-4-RXN	EG11625
ABC-4-RXN	EG10072
THIAZOLSYN3-RXN	M007
DIAMTRANSAM-RXN	G7596
AICARSYN-RXN	EG11314
PROTOPORGENOXI-RXN	EG11485
RXN-8645	EG10944
GLUC1PADENYLTRANS-RXN	EG10379
TRANS-RXN0-244	EG11873
ASPARTATEKIN-RXN	EG10998
ASPARTATEKIN-RXN	EG10550
ASPARTATEKIN-RXN	EG10590
P-PANTOCYSDECARB-RXN	EG10004
2-METHYLCITRATE-SYNTHASE-RXN	G6198
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	EG11138
RXN0-5304	EG10817
GTPPYPHOSKIN-RXN	EG10835
RXN0-5306	EG11865
ADENYLYLSULFKIN-RXN	EG10185
GSDEADENYLATION-RXN	EG11602
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	G6365
TRANS-RXN0-239	EG12153
TRANS-RXN0-239	EG10642
GSPAMID-RXN	EG12882
DSBDC-RXN	EG12178
RXN-8632	EG11904
TRANS-RXN0-233	G7685
TRANS-RXN0-233	G7686
DNA-DIRECTED-RNA-POLYMERASE-RXN	EG10895
DNA-DIRECTED-RNA-POLYMERASE-RXN	EG10894
DNA-DIRECTED-RNA-POLYMERASE-RXN	EG10893
L-ASPARTATE-OXID-RXN	EG10631
RXN-8638	EG10773
RXN-8638	EG10772
RXN-8638	EG10771
ARYLSULFAT-RXN	EG10089
TRANS-RXN0-235	EG12283
TRANS-RXN0-235	EG12281
TRANS-RXN0-235	EG12282
TRANS-RXN0-236	EG11313
ENOYL-ACP-REDUCT-NADH-RXN	EG11528
PEPCARBOX-RXN	EG10756
GMP-REDUCT-RXN	EG10422
TRANS-RXN0-228	EG12539
ISOCHORSYN-RXN	EG10261
ISOCHORSYN-RXN	EG12362
TRANS-RXN0-224	G6462
TRANS-RXN0-224	G6461
TRANS-RXN0-224	EG11009
RXN-8629	EG10543
TRANS-RXN0-226	EG12183
TRANS-RXN0-227	EG12587
TRANS-RXN0-222	EG12661
TRANS-RXN0-222	G6359
TRANS-RXN0-222	EG12662
TRANS-RXN0-222	EG12663
RXN0-2201	EG12345
ADDALT-RXN	EG10030
LYXISOM-RXN	EG11867
TREHALA-RXN	EG12245
TREHALA-RXN	EG11017
PORPHOBILSYNTH-RXN	EG10428
RXN0-6427	EG10966
TRANS-RXN-1	EG11258
DEHYDDEOXPHOSGALACT-ALDOL-RXN	EG20049
TRANS-RXN-2	EG10513
TRANS-RXN-2	EG10514
TRANS-RXN-2	G0-10439
TRANS-RXN-2	EG10515
TRANS-RXN-3	EG11020
TRANS-RXN-3	EG11021
TRANS-RXN-8	EG12102
TRANS-RXN-8	EG11167
TRANS-RXN0-211	EG10753
TRANS-RXN0-212	EG10132
GAMMA-GLUTAMYLTRANSFERASE-RXN	EG10374
RXN0-6435	EG11551
DALADALALIG-RXN	EG10214
DALADALALIG-RXN	EG10213
CROBETREDUCT-RXN	EG11560
FHLMULTI-RXN	EG10478
FHLMULTI-RXN	EG10479
FHLMULTI-RXN	EG10285
FHLMULTI-RXN	EG10475
FHLMULTI-RXN	EG10476
FHLMULTI-RXN	EG10477
FHLMULTI-RXN	EG10480
ABC-36-RXN	EG10536
ABC-36-RXN	EG10541
ABC-36-RXN	EG10539
ABC-36-RXN	EG10537
ABC-36-RXN	EG10538
PPENTOMUT-RXN	EG10220
RIBOSYLHOMOCYSTEINASE-RXN	EG12712
TRANS-RXN0-280	EG12367
TRANS-RXN0-280	G6322
TRANS-RXN0-280	G6321
TRANS-RXN0-280	G6320
RXN0-2261	EG10272
RXN0-2261	EG10290
RXN0-2261	EG10286
RXN0-2261	EG11012
RXN0-2261	EG10271
RXN0-2261	EG10289
RXN0-2261	EG10288
RXN0-2261	EG10287
TRANS-RXN0-283	EG10272
TRANS-RXN0-283	EG11012
TRANS-RXN0-283	EG10271
TRANS-RXN0-283	EG10126
TRANS-RXN0-288	EG12469
TRANS-RXN0-288	G6378
TRANS-RXN0-288	EG12232
TRANS-RXN0-286	EG10344
TRANS-RXN0-286	G6561
CYSTEINE--TRNA-LIGASE-RXN	EG10196
GLYCOGENSYN-RXN	EG10377
RXN-9789	EG11587
HOMSUCTRAN-RXN	EG10581
TRANS-RXN0-270	G6984
RXN0-1661	EG10299
RXN-9788	EG11587
RXN-9788	G6238
RXN-9787	G7325
TRANS-RXN0-276	G7171
TRANS-RXN0-276	G0-10460
TRANS-RXN0-275	G6531
3.4.24.70-RXN	EG11441
RXN0-2281	EG11768
TRANS-RXN0-279	EG11486
THIAZOLSYN2-RXN	EG11589
RXN0-2661	EG10627
ASNSYNB-RXN	EG10092
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	EG11473
SELENOCYSTEINE-LYASE-RXN	G6906
RXN0-2241	EG10272
RXN0-2241	EG11012
RXN0-2241	EG10271
RXN0-2241	EG10303
RXN0-2241	EG10302
RXN0-2241	EG10305
RXN0-2241	EG10304
GLUCOKIN-RXN	EG12957
CHERTARM-RXN	EG10148
TRANS-RXN0-269	G7405
TRANS-RXN0-269	G7406
TRANS-RXN0-268	EG10675
TRANS-RXN0-268	EG10678
TRANS-RXN0-268	EG10677
TRANS-RXN0-268	EG10676
TRANS-RXN0-268	G6665
TRANS-RXN0-267	G6877
TRANS-RXN0-266	G6857
TRANS-RXN0-266	G6858
TRANS-RXN0-265	EG12713
TRANS-RXN0-264	EG12236
ABC-37-RXN	EG12125
ABC-37-RXN	EG10007
ABC-37-RXN	EG10452
ABC-37-RXN	EG10072
BETAGALACTOSID-RXN	EG10527
RXN0-986	EG10037
RXN0-984	EG10037
RXN0-985	EG10037
ADENOSINE-NUCLEOSIDASE-RXN	EG11082
TRANS-RXN0-258	EG12183
KETOACYLCOATHIOL-RXN	G7213
KETOACYLCOATHIOL-RXN	EG10278
ABC-20-RXN	EG12525
ABC-20-RXN	EG12076
ABC-20-RXN	EG12077
ABC-20-RXN	EG12078
ABC-20-RXN	EG12079
ABC-20-RXN	EG12075
RIBOKIN-RXN	EG10818
3.4.21.83-RXN	EG11004
PHENYLACETATE--COA-LIGASE-RXN	G6719
DARABISOM-RXN	EG10349
ACECOATRANS-RXN	EG11669
ACECOATRANS-RXN	EG11670
ACECOATRANS-RXN	EG12432
SPERMIDINESYN-RXN	EG10963
RXN0-4641	G7263
GSAAMINOTRANS-RXN	EG10432
RXN0-4261	EG10236
RXN0-4261	EG10833
RXN0-4261	EG10837
RXN-2043	EG12258
BIOTINLIG-RXN	EG10123
HOMOSERKIN-RXN	EG10999
MYRPALMTRAN-RXN	EG10614
FUCISOM-RXN	EG10349
GLYCDEH-RXN	EG11904
RXN-12587	G7325
RXN-12588	G7325
PSEUDOURIDINE-KINASE-RXN	EG11646
SULFATE-ADENYLYLTRANS-RXN	EG10186
SULFATE-ADENYLYLTRANS-RXN	EG10194
ABC-5-RXN	EG12334
ABC-5-RXN	EG10127
ABC-5-RXN	EG10128
PRIBFAICARPISOM-RXN	EG10444
RXN0-4621	G6880
GLYOXIII-RXN	G7055
ALTRODEHYDRAT-RXN	EG12734
PHOSPHAGLYPSYN-RXN	EG10706
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EG20257
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EG12381
RXN0-4223	EG11547
RXN0-3741	G7230
RXN0-3741	G7185
ABC-3-RXN	EG12125
ABC-3-RXN	EG10007
ABC-3-RXN	EG10452
ABC-3-RXN	EG10072
TRANS-RXN-141B	EG11463
RXN0-4222	G7175
TRANS-RXN-141A	EG11463
TRANS-RXN-141A	EG11167
2OXOGLUTDECARB-RXN	EG10979
ENTG-RXN	EG10264
ABC-26-RXN	EG10773
ABC-26-RXN	EG10772
ABC-26-RXN	EG10771
RXN0-1603	G7530
RXN0-1602	G7530
RXN-2962	EG50010
GAPOXNPHOSPHN-RXN	EG10367
RXN-9772	EG10631
THREODEHYD-RXN	EG10993
TRANS-RXN-56	EG10708
TRANS-RXN-56	EG10084
1.1.1.274-RXN	EG11648
1.1.1.274-RXN	G7565
TRANS-RXN-57	EG11330
TRANS-RXN-58	EG11337
ABC-15-RXN	EG10536
ABC-15-RXN	EG10541
ABC-15-RXN	EG10539
ABC-15-RXN	EG10537
ABC-15-RXN	EG10538
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EG11370
COBALADENOSYLTRANS-RXN	EG10130
RXN0-1483	EG10921
RXN0-1483	EG12318
RXN0-1081	EG11372
PGLYCEROLTRANSII-RXN	EG12591
TRANS-RXN-44	EG11720
TRANS-RXN-44	G6440
TRANS-RXN-44	EG12576
TRANS-RXN-44	EG11343
TRANS-RXN-44	EG11419
TRANS-RXN-44	EG11693
TRANS-RXN-42	EG10521
TRANS-RXN-42	EG20110
TRANS-RXN-42	EG11753
SPERMACTRAN-RXN	G6842
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EG10076
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	G7564
TRANS-RXN-40	EG11636
TRANS-RXN-41	G6256
TRANS-RXN-105	G7542
TRANS-RXN-106	EG11225
TRANS-RXN-106	EG10006
TRANS-RXN-106	G6347
COBALAMINSYN-RXN	EG12150
TRANS-RXN-108	EG10664
TRANS-RXN-101	EG11753
TRANS-RXN-104	EG11961
TRANS-RXN-104	G7542
TRANS-RXN-100	EG11561
TRANS-RXN-76	EG10084
TRANS-RXN-76	EG11006
TRANS-RXN-76	EG10617
TRANS-RXN-77	EG10084
TRANS-RXN-77	EG11041
TRANS-RXN-71	EG10991
TRANS-RXN-71	EG12142
TRANS-RXN-72	EG10991
2.1.1.77-RXN	EG10689
DARABALDOL-RXN	EG10348
TRANS-RXN-112	EG11313
TRANS-RXN-113	EG11869
TRANS-RXN-118	EG10802
RXN-11362	G7325
TRANS-RXN-116	EG11327
RXN-11361	EG10154
TRANS-RXN-117	EG10685
CHORPYRLY-RXN	EG11369
1.13.11.16-RXN	M011
TRANS-RXN-68	EG10132
TRANS-RXN-69	EG11896
TRANS-RXN-69	EG10753
TRANS-RXN-69	G6643
R4-RXN	EG11385
R4-RXN	EG11384
CYTIDEAM2-RXN	EG10137
FUCPALDOL-RXN	EG10348
ABC-11-RXN	EG10303
ABC-11-RXN	EG10305
ABC-11-RXN	EG10304
TRANS-RXN-61	G6206
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EG10497
RXN0-4181	G6783
RXN0-4181	EG12252
RXN0-4181	G6639
RXN0-4181	G7314
RXN0-4181	EG11236
TRANS-RXN-123	EG12738
TRANS-RXN-126	EG12168
TRANS-RXN-127	EG12393
TRANS-RXN-129	EG10652
DIMETHUROPORDEHYDROG-RXN	EG10188
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	EG11847
OROTPDECARB-RXN	EG10809
TRANS-RXN-121	EG20044
DIHYDROOROT-RXN	EG10806
TRANS-RXN-122	EG10406
MYRISTOYLACYLTRAN-RXN	EG10614
RXN0-2602	EG10329
RXN-11302	EG10341
RXN0-2601	EG10662
CHD-RXN	EG10109
RXN0-2604	EG10829
RXN0-299	EG12423
RXN0-2606	EG10832
RXN0-2606	EG10834
RXN0-2606	EG10828
RXN0-2605	EG10825
RXN0-2605	EG10826
RXN0-2605	EG10824
TRANS-RXN-10	EG10056
AMINOBUTDEHYDROG-RXN	G6755
RXN0-1981	EG11942
TRANS-RXN-14	EG10177
TRANS-RXN-16	EG20053
TRANS-RXN-132	EG12129
TRANS-RXN-131	EG10396
TRANS-RXN-130	EG11392
GLUTATHIONE-SYN-RXN	EG10419
COBALAMIN5PSYN-RXN	EG12150
3-NUCLEOTID-RXN	EG10160
3-NUCLEOTID-RXN	EG11817
RXN0-1441	EG12633
KDOTRANS2-RXN	EG10520
TRANS-RXN-139	G6850
TRANS-RXN-137	EG10654
TRANS-RXN-137	EG10642
3.2.1.37-RXN	G6143
3.2.2.21-RXN	EG11222
RXN-10856	EG11673
ETHAMLY-RXN	EG50006
ETHAMLY-RXN	EG50007
RXN-11319	EG11590
FUCULOKIN-RXN	EG10350
THIOESTER-RXN	EG11542
RXN0-280	G6477
TRANS-RXN-142	EG10617
TRYPTOPHAN--TRNA-LIGASE-RXN	EG11030
TRANS-RXN-141	EG11463
FRUCTOKINASE-RXN	EG11288
TRANS-RXN-143	EG11606
TRANS-RXN-143	EG11541
DTDPKIN-RXN	EG10650
TRANS-RXN-146	EG11980
5.1.3.20-RXN	EG10838
RXN0-2625	EG10625
RXN0-2625	EG11281
RXN0-2625	EG10624
TRANS-RXN-30	EG11076
3.4.23.36-RXN	EG10548
3-DEHYDROQUINATE-SYNTHASE-RXN	EG10074
RXN0-279	G7454
RXN0-2622	EG10830
RXN0-2621	EG11061
RXN0-2621	EG11063
RXN0-2621	EG11062
RXN0-2621	EG11064
RXN0-275	G7492
1.97.1.4-A-RXN	EG10028
TRANS-RXN-35	EG12738
2.1.1.63-RXN	EG10668
2.1.1.63-RXN	EG10029
RXN0-271	EG12656
TRANS-RXN-31	EG13159
RXN0-6710	EG10725
TRANS-RXN-33	EG11054
TRANS-RXN-151	EG12392
O-SUCCINYLBENZOATE-COA-LIG-RXN	EG12437
TRANS-RXN-155	EG10141
TRANS-RXN-155	EG10140
TRANS-RXN-155	EG10142
TRANS-RXN-155	EG10086
TDCEACT1-RXN	EG10028
TRANS-RXN-153	EG10115
TRANS-RXN-153	EG10086
TRANS-RXN-158	G7990
TRANS-RXN-158	EG10336
GLUTSEMIALDEHYDROG-RXN	EG10767
RXN0-1461	EG12189
TRANS-RXN-157	EG10567
TRANS-RXN-157	EG10569
TRANS-RXN-157	EG10568
TRANS-RXN-157	EG10787
TRANS-RXN-157	EG10165
TRANS-RXN-156	EG11792
TRANS-RXN-156	EG11791
TRANS-RXN-156	EG10615
3.1.26.3-RXN	EG10857
5.4.2.10-RXN	EG11553
RXN0-267	EG10129
PHOSMANMUT-RXN	EG10162
RXN0-6705	EG11377
RXN0-268	G7517
RXN0-6708	EG11326
RXN0-262	EG11829
TRANS-RXN-27	G7067
TRANS-RXN-26	EG12153
TRANS-RXN-26	EG10642
TRANS-RXN-25	G436
TRANS-RXN-24	EG10526
TRANS-RXN-23	EG10522
TRANS-RXN-22	EG10401
TRANS-RXN-21	EG12148
TRANS-RXN-20	EG10352
GUANPRIBOSYLTRAN-RXN	EG20098
GUANPRIBOSYLTRAN-RXN	EG10414
MANNOSE-ISOMERASE-RXN	EG11845
TRANS-RXN-161	EG12416
TRANS-RXN-161	EG12415
TRANS-RXN-161	EG12414
DMBPPRIBOSYLTRANS-RXN	EG12151
TRANS-RXN-29	G6233
TRANS-RXN-29	EG11612
TRANS-RXN-165	EG10567
TRANS-RXN-165	EG10569
TRANS-RXN-165	EG10568
TRANS-RXN-168	EG12127
TRANS-RXN-168	EG10165
TRANS-RXN-167	EG10567
TRANS-RXN-167	EG10569
TRANS-RXN-167	EG10568
TRANS-RXN-167	EG10635
TRANS-RXN-169	EG10969
TRANS-RXN-169	EG10970
TRANS-RXN-169	G8210
ACETOOHBUTSYN-RXN	EG10499
ACETOOHBUTSYN-RXN	EG10500
ACETOOHBUTSYN-RXN	EG10501
ACETOOHBUTSYN-RXN	EG10502
ACETOOHBUTSYN-RXN	EG10494
SERINE--TRNA-LIGASE-RXN	EG10947
PROTOHEMEFERROCHELAT-RXN	EG10431
GLYOHMETRANS-RXN	EG10408
RXN0-6734	EG10719
RXN0-6733	EG10722
RXN0-6732	EG10716
RXN0-6732	EG10717
RXN0-6732	EG10718
RXN0-6732	EG10721
GALACTURIDYLYLTRANS-RXN	EG10366
RXN0-6731	EG12233
3.2.1.17-RXN	G6310
MHPHYDROXY-RXN	M010
RXN-13142	EG11758
GLYCOLALD-DEHYDROG-RXN	EG10035
RXN0-1941	G7565
RXN0-5285	G7445
5.99.1.2-RXN	EG11014
5.99.1.2-RXN	EG11013
RXN0-5289	G6278
THRESYN-RXN	EG11000
DIMESULFREDUCT-RXN	EG10232
DIMESULFREDUCT-RXN	EG10233
DIMESULFREDUCT-RXN	EG10234
RXN0-1001	EG10033
RXN0-6720	G6805
RXN0-6722	G6731
RXN-1623	EG11377
ACETYL-COA-CARBOXYLTRANSFER-RXN	EG10217
ACETYL-COA-CARBOXYLTRANSFER-RXN	EG10275
ACETYL-COA-CARBOXYLTRANSFER-RXN	EG11647
ACETYL-COA-CARBOXYLTRANSFER-RXN	EG10276
DHDOGALDOL-RXN	G6140
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EG10497
RXN0-5292	G7185
RXN0-6725	EG10738
RXN0-5294	EG11424
RXN0-5295	G495
RXN0-5295	EG10114
RXN0-5295	EG10085
RXN0-6726	EG10852
BETA-GLUCURONID-RXN	EG11055
RXN0-5298	EG10355
RXN0-5297	EG10114
