# Combined matrix for the pangenome
# Each cell contains the average difference on the AV  between each organism of the pangenome
#  Compounds are sorted by mean diffAV,  pathways by genomic variability (number of variable reaction IDs / numer of distinct reaction IDs)
 	path:map00230 Purine metabolism	path:map00240 Pyrimidine metabolism	path:map00040 Pentose and glucuronate interconversions	path:map00250 Alanine, aspartate and glutamate metabolism	path:map00053 Ascorbate and aldarate metabolism	path:map00340 Histidine metabolism	path:map00770 Pantothenate and CoA biosynthesis	path:map00350 Tyrosine metabolism	path:map01230 Biosynthesis of amino acids	path:map00650 Butanoate metabolism
carbon cpd:C00025 L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	nan	nan	nan	2.66666666667	nan	2.66666666667	nan	nan	2.66666666667	2.66666666667
carbon cpd:C00064 L-Glutamine; L-2-Aminoglutaramic acid	2.41666666667	2.41666666667	nan	2.41666666667	nan	nan	nan	nan	2.41666666667	nan
carbon cpd:C00049 L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp	nan	nan	nan	2.25	nan	2.25	2.25	nan	2.25	nan
carbon cpd:C00065 L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine	nan	nan	nan	nan	nan	nan	nan	nan	2.16666666667	nan
carbon cpd:C00212 Adenosine	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00041 L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine	nan	nan	nan	2.0	nan	nan	nan	nan	2.0	nan
osmolytes_and_ph cpd:C00148 L-Proline; 2-Pyrrolidinecarboxylic acid	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan
carbon cpd:C00152 L-Asparagine; 2-Aminosuccinamic acid	nan	nan	nan	1.91666666667	nan	nan	nan	nan	1.91666666667	nan
carbon cpd:C00188 L-Threonine; 2-Amino-3-hydroxybutyric acid	nan	nan	nan	nan	nan	nan	nan	nan	1.75	nan
carbon cpd:C00214 Thymidine; Deoxythymidine	nan	1.75	nan	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00299 Uridine	nan	1.66666666667	nan	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00022 Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	nan	nan	1.66666666667	1.66666666667	1.66666666667	nan	1.66666666667	1.66666666667	1.66666666667	1.66666666667
carbon cpd:C00085 D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester	nan	nan	1.66666666667	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00474 Ribitol; Adonitol	nan	nan	1.58333333333	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00483 Tyramine; 2-(p-Hydroxyphenyl)ethylamine	nan	nan	nan	nan	nan	nan	nan	1.5	nan	nan
carbon cpd:C00137 myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I	nan	nan	nan	nan	1.5	nan	nan	nan	nan	nan
carbon cpd:C01115 L-Galactono-1,4-lactone	nan	nan	nan	nan	1.5	nan	nan	nan	nan	nan
carbon cpd:C00026 2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid	nan	nan	1.5	1.5	1.5	1.5	nan	nan	1.5	1.5
carbon cpd:C00164 Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid	nan	nan	nan	nan	nan	nan	nan	1.25	nan	1.25
carbon cpd:C00109 2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate	nan	nan	nan	nan	nan	nan	nan	nan	1.25	nan
carbon cpd:C00818 D-Glucarate; D-Glucaric acid; L-Gularic acid; D-Saccharic acid; D-Glucosaccharic acid; Glucaric acid; Glucarate	nan	nan	nan	nan	1.08333333333	nan	nan	nan	nan	nan
carbon cpd:C00103 D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	nan	nan	1.08333333333	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00191 D-Glucuronate; Glucuronic acid; Glucuronate	nan	nan	1.0	nan	1.0	nan	nan	nan	nan	nan
carbon cpd:C05593 3-Hydroxyphenylacetate; 3-Hydroxyphenylacetic acid	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan
carbon cpd:C00042 Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid	nan	nan	nan	1.0	nan	nan	nan	1.0	nan	1.0
carbon cpd:C00148 L-Proline; 2-Pyrrolidinecarboxylic acid	nan	nan	nan	nan	nan	nan	nan	nan	0.916666666667	nan
carbon cpd:C00497 (R)-Malate; D-Malate; D-Malic acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.875
carbon cpd:C00181 D-Xylose; Wood sugar	nan	nan	0.833333333333	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00122 Fumarate; Fumaric acid; trans-Butenedioic acid	nan	nan	nan	0.833333333333	nan	nan	nan	0.833333333333	nan	0.833333333333
osmolytes_and_ph cpd:C00086 Urea; Carbamide	0.597222222222	0.597222222222	nan	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00294 Inosine	0.583333333333	nan	nan	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C01508 L-Lyxose	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00259 L-Arabinose; L-Arabinopyranose	nan	nan	0.25	nan	0.25	nan	nan	nan	nan	nan
carbon cpd:C00642 4-Hydroxyphenylacetate; 4-Hydroxyphenylacetic acid	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan
carbon cpd:C00333 D-Galacturonate; D-Galacturonic acid	nan	nan	0.0	nan	0.0	nan	nan	nan	nan	nan
carbon cpd:C00158 Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan
carbon cpd:C00559 Deoxyadenosine; 2'-Deoxyadenosine	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00402 D-Aspartate; D-Aspartic acid	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan
carbon cpd:C00048 Glyoxylate; Glyoxalate; Glyoxylic acid	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan
