standard_name,common_name_en,plural_name_en
Puffinus Shearwater sp.,Puffinus Shearwater sp.,Puffinus Shearwater sp.
Great Shearwater,Great Shearwater,Great Shearwaters
Sooty Shearwater,Sooty Shearwater,Sooty Shearwaters
Manx Shearwater,Manx Shearwater,Manx Shearwaters
Balearic Shearwater,Balearic Shearwater,Balearic Shearwaters
Barolo Shearwater,Barolo Shearwater,Barolo Shearwaters
Storm-Petrel sp.,Storm-Petrel sp.,Storm-Petrel sp.
Wilson's Storm-Petrel,Wilson's Petrel,Wilson's Petrels
White-faced Storm-Petrel,White-faced Storm Petrel,White-faced Storm Petrels
European Storm-Petrel,European Storm Petrel,European Storm Petrels
Leach's Storm-Petrel,Leach's Petrel,Leach's Petrels
Swinhoe's Storm-Petrel,Swinhoe's Storm Petrel,Swinhoe's Storm Petrels
Band-rumped Storm-Petrel,Band-rumped Storm Petrel,Band-rumped Storm Petrels
White-tailed Tropicbird,White-tailed Tropicbird,White-tailed Tropicbirds
Red-billed Tropicbird,Red-billed Tropicbird,Red-billed Tropicbirds
Black Stork,Black Stork,Black Storks
White Stork,White Stork,White Storks
Marabou Stork,Marabou Stork,Marabou Storks
Yellow-billed Stork,Yellow-billed Stork,Yellow-billed Storks
Magnificent Frigatebird,Magnificent Frigatebird,Magnificent Frigatebirds
Masked Booby,Masked Booby,Masked Boobies
Brown Booby,Brown Booby,Brown Boobies
Northern Gannet,Gannet,Gannets
Double-crested Cormorant,Double-crested Cormorant,Double-crested Cormorants
Great Cormorant,Cormorant,Cormorants
Great Cormorant (North Atlantic),Cormorant,Cormorants
Cormorant (Eurasian),Cormorant (Eurasian),Cormorants (sinensis)
European Shag,Shag,Shags
Great White Pelican,Great White Pelican,Great White Pelicans
Pink-backed Pelican,Pink-backed Pelican,Pink-backed Pelicans
American Bittern,American Bittern,American Bitterns
Great Bittern,Bittern,Bitterns
Little Bittern,Little Bittern,Little Bitterns
Least Bittern,Least Bittern,Least Bitterns
Heron sp.,Heron sp.,Heron sp.
Great Blue Heron,Great Blue Heron,Great Blue Herons
Gray Heron,Grey Heron,Grey Herons
Purple Heron,Purple Heron,Purple Herons
Great Egret,Great Egret,Great Egrets
Great Egret (Eurasian),Great Egret,Great Egrets
Great Egret (American),American Great Egret,American Great Egrets
Little Egret,Little Egret,Little Egrets
Western Reef-Heron,Western Reef Heron,Western Reef Herons
Snowy Egret,Snowy Egret,Snowy Egrets
Little Blue Heron,Little Blue Heron,Little Blue Herons
Tricolored Heron,Tricolored Heron,Tricolored Herons
Cattle Egret,Cattle Egret,Cattle Egrets
Squacco Heron,Squacco Heron,Squacco Herons
Green Heron,Green Heron,Green Herons
Black-crowned Night-Heron,Black-crowned Night Heron,Black-crowned Night Herons
Glossy Ibis,Glossy Ibis,Glossy Ibis
Sacred Ibis,Sacred Ibis,Sacred Ibis
Waldrapp,Bald Ibis,Bald Ibis
Eurasian Spoonbill,Spoonbill,Spoonbills
Osprey,Osprey,Ospreys
Black-shouldered Kite,Black-winged Kite,Black-winged Kites
Lammergeier,Bearded Vulture,Bearded Vultures
Egyptian Vulture,Egyptian Vulture,Egyptian Vultures
European Honey-buzzard,Honey Buzzard,Honey Buzzards
Swallow-tailed Kite,Swallow-tailed Kite,Swallow-tailed Kites
Cinereous Vulture,Cinereous Vulture,Cinereous Vultures
White-backed Vulture,White-backed Vulture,White-backed Vultures
Rueppell's Griffon,Rüppell's Vulture,Rüppell's Vultures
Eurasian Griffon,Griffon Vulture,Griffon Vultures
Short-toed Eagle,Short-toed Eagle,Short-toed Eagles
Lesser Spotted Eagle,Lesser Spotted Eagle,Lesser Spotted Eagles
Greater Spotted Eagle,Greater Spotted Eagle,Greater Spotted Eagles
Booted Eagle,Booted Eagle,Booted Eagles
Spanish Eagle,Spanish Imperial Eagle,Spanish Imperial Eagles
Golden Eagle,Golden Eagle,Golden Eagles
Bonelli's Eagle,Bonelli's Eagle,Bonelli's Eagles
Harrier sp.,Harrier sp.,Harrier sp.
Eurasian Marsh-Harrier,Marsh Harrier,Marsh Harriers
Northern Harrier,Hen Harrier,Hen Harriers
Pallid Harrier,Pallid Harrier,Pallid Harriers
Montagu's Harrier,Montagu's Harrier,Montagu's Harriers
Hawk sp.,Hawk sp.,Hawk sp.
Eurasian Sparrowhawk,Sparrowhawk,Sparrowhawks
Northern Goshawk,Goshawk,Goshawks
Red Kite,Red Kite,Red Kites
Black Kite,Black Kite,Black Kites
White-tailed Eagle,White-tailed Eagle,White-tailed Eagles
Buzzard sp.,Buzzard sp.,Buzzard sp.
Rough-legged Hawk,Rough-legged Buzzard,Rough-legged Buzzards
Common Buzzard,Buzzard,Buzzards
Common Buzzard (Western),Buzzard,Buzzards
Common Buzzard (Azorean),Buzzard (Azorean),Buzzard (Azorean)
Steppe Buzzard,Steppe Buzzard,Steppe Buzzards
Long-legged Buzzard,Long-legged Buzzard,Long-legged Buzzards
Great Bustard,Great Bustard,Great Bustards
Houbara Bustard,Houbara Bustard,Houbara Bustards
Little Bustard,Little Bustard,Little Bustards
Corn Crake,Corn Crake,Corn Crakes
Water Rail,Water Rail,Water Rails
Black Crake,Black Crake,Black Crakes
Little Crake,Little Crake,Little Crakes
Baillon's Crake,Baillon's Crake,Baillon's Crakes
Spotted Crake,Spotted Crake,Spotted Crakes
Sora,Sora,Soras
Purple Swamphen,Purple Swamphen,Purple Swamphens
Allen's Gallinule,Allen's Gallinule,Allen's Gallinules
Purple Gallinule,Purple Gallinule,Purple Gallinules
Eurasian Moorhen,Moorhen,Moorhens
Red-knobbed Coot,Red-knobbed Coot,Red-knobbed Coots
Eurasian Coot,Coot,Coots
American Coot,American Coot,American Coots
Gray Crowned-Crane,Grey Crowned Crane,Grey Crowned Craness
Demoiselle Crane,Demoiselle Crane,Demoiselle Cranes
Sandhill Crane,Sandhill Crane,Sandhill Cranes
Common Crane,Crane,Cranes
Eurasian Thick-knee,Stone-curlew,Stone-curlews
Black-winged Stilt,Black-winged Stilt,Black-winged Stilts
Pied Avocet,Avocet,Avocets
Eurasian Oystercatcher,Oystercatcher,Oystercatchers
Black-bellied Plover,Grey Plover,Grey Plovers
European Golden-Plover,Golden Plover,Golden Plovers
American Golden-Plover,American Golden Plover,American Golden Plovers
Pacific Golden-Plover,Pacific Golden Plover,Pacific Golden Plovers
Northern Lapwing,Lapwing,Lapwing
Blacksmith Plover,Blacksmith Lapwing,Blacksmith Lapwing
Wattled Lapwing,African Wattled Lapwing,African Wattled Lapwing
Sociable Lapwing,Sociable Lapwing,Moorhens
Southern Lapwing,Southern Lapwing,Southern Lapwing
Lesser Sand-Plover,Lesser Sand Plover,Lesser Sand Plovers
Kentish Plover,Kentish Plover,Kentish Plovers
Common Ringed Plover,Ringed Plover,Ringed Plovers
Semipalmated Plover,Semipalmated Plover,Semipalmated Plovers
Little Ringed Plover,Little Ringed Plover,Little Ringed Plovers
Killdeer,Killdeer,Killdeer
Eurasian Dotterel,Dotterel,Dotterels
Terek Sandpiper,Terek Sandpiper,Terek Sandpipers
Common Sandpiper,Common Sandpiper,Common Sandpipers
Spotted Sandpiper,Spotted Sandpiper,Spotted Sandpipers
Green Sandpiper,Green Sandpiper,Green Sandpipers
Solitary Sandpiper,Solitary Sandpiper,Solitary Sandpipers
Spotted Redshank,Spotted Redshank,Spotted Redshanks
Greater Yellowlegs,Greater Yellowlegs,Greater Yellowlegs
Common Greenshank,Greenshank,Greenshanks
Willet,Willet,Willets
Lesser Yellowlegs,Lesser Yellowlegs,Lesser Yellowlegs
Marsh Sandpiper,Marsh Sandpiper,Marsh Sandpipers
Wood Sandpiper,Wood Sandpiper,Wood Sandpipers
Common Redshank,Redshank,Redshanks
Upland Sandpiper,Upland Sandpiper,Upland Sandpipers
Curlew sp.,Curlew sp.,Curlew sp.
Whimbrel,Whimbrel,Whimbrels
Whimbrel (American),Hudsonian Whimbrel,Hudsonian Whimbrels
Slender-billed Curlew,Slender-billed Curlew,Slender-billed Curlews
Eurasian Curlew,Curlew,Curlews
Black-tailed Godwit,Black-tailed Godwit,Black-tailed Godwits
Hudsonian Godwit,Hudsonian Godwit,Hudsonian Godwits
Bar-tailed Godwit,Bar-tailed Godwit,Bar-tailed Godwits
Ruddy Turnstone,Turnstone,Turnstones
Calidris sp.,Calidris sp.,Calidris sp.
Red Knot,Knot,Knot
Ruff,Ruff,Ruff
Broad-billed Sandpiper,Broad-billed Sandpiper,Broad-billed Sandpipers
Sharp-tailed Sandpiper,Sharp-tailed Sandpiper,Sharp-tailed Sandpipers
Stilt Sandpiper,Stilt Sandpiper,Stilt Sandpipers
Curlew Sandpiper,Curlew Sandpiper,Curlew Sandpipers
Temminck's Stint,Temminck's Stint,Temminck's Stints
Sanderling,Sanderling,Sanderling
Dunlin,Dunlin,Dunlin
Purple Sandpiper,Purple Sandpiper,Purple Sandpipers
Baird's Sandpiper,Baird's Sandpiper,Baird's Sandpipers
Little Stint,Little Stint,Little Stints
Least Sandpiper,Least Sandpiper,Least Sandpipers
White-rumped Sandpiper,White-rumped Sandpiper,White-rumped Sandpipers
Buff-breasted Sandpiper,Buff-breasted Sandpiper,Buff-breasted Sandpipers
Pectoral Sandpiper,Pectoral Sandpiper,Pectoral Sandpipers
Semipalmated Sandpiper,Semipalmated Sandpiper,Semipalmated Sandpipers
Western Sandpiper,Western Sandpiper,Western Sandpipers
Long-billed/Short-billed Dowitcher,Long-billed/Short-billed Dowitcher,Long-billed/Short-billed Dowitcher
Short-billed Dowitcher,Short-billed Dowitcher,Short-billed Dowitchers
Long-billed Dowitcher,Long-billed Dowitcher,Long-billed Dowitchers
Jack Snipe,Jack Snipe,Jack Snipe
Great Snipe,Great Snipe,Great Snipe
Wilson's Snipe,Wilson's Snipe,Wilson's Snipe
Common Snipe,Snipe,Snipe
Eurasian Woodcock,Woodcock,Woodcocks
Wilson's Phalarope,Wilson's Phalarope,Wilson's Phalaropes
Red-necked Phalarope,Red-necked Phalarope,Red-necked Phalaropes
Red Phalarope,Grey Phalarope,Grey Phalaropes
Small Buttonquail,Common Buttonquail,Common Buttonquail
Cream-colored Courser,Cream-colored Courser,Cream-colored Coursers
Collared Pratincole,Collared Pratincole,Collared Pratincoles
Jaeger/Skua sp.,Skua sp.,Skua sp.
Great Skua,Great Skua,Great Skuas
Pomarine Jaeger,Pomarine Skua,Pomarine Skuas
Parasitic Jaeger,Arctic Skua,Arctic Skuas
Pomarine/Parasitic Jaeger,Pomarine/Arctic Skua,Pomarine/Arctic Skuas
Long-tailed Jaeger,Long-tailed Skua,Long-tailed Skuas
Auk sp.,Auk sp.,Auks
Dovekie,Little Auk,Little Auks
Common Murre,Guillemot,Guillemots
Thick-billed Murre,Brunnich's Guillemot,Brunnich's Guillemots
Razorbill,Razorbill,Razorbills
Guillemot/Razorbill,Guillemot/Razorbill,Guillemots/Razorbills
Atlantic Puffin,Puffin,Puffins
Black-legged Kittiwake,Kittiwake,Kittiwakes
Sabine's Gull,Sabine's Gull,Sabine's Gulls
Slender-billed Gull,Slender-billed Gull,Slender-billed Gulls
Bonaparte's Gull,Bonaparte's Gull,Bonaparte's Gulls
Black-headed Gull,Black-headed Gull,Black-headed Gulls
Little Gull,Little Gull,Little Gulls
Laughing Gull,Laughing Gull,Laughing Gulls
Franklin's Gull,Franklin's Gull,Franklin's Gulls
Mediterranean Gull,Mediterranean Gull,Mediterranean Gulls
Pallas's Gull,Pallas's Gull,Pallas's Gulls
Audouin's Gull,Audouin's Gull,Audouin's Gulls
Larus sp.,Larus sp.,Larus sp.
Mew Gull,Common Gull,Common Gulls
Mew Gull (American),American Mew Gull,American Mew Gulls
Ring-billed Gull,Ring-billed Gull,Ring-billed Gulls
Herring Gull,Herring Gull,Herring Gulls
Herring Gull (American),American Herring Gull,American Herring Gulls
Yellow-legged Gull,Yellow-legged Gull,Yellow-legged Gulls
Yellow-legged Gull (atlantis),Yellow-legged Gull (atlantis),Yellow-legged Gulls (atlantis)
Caspian Gull,Caspian Gull,Caspian Gulls
Iceland Gull,Iceland Gull,Iceland Gulls
Iceland Gull (Kumlien's),Kumlien's Gull,Kumlien's Gull
Lesser Black-backed Gull,Lesser Black-backed Gull,Lesser Black-backed Gulls
Lesser Black-backed Gull (intermedius),Lesser Black-backed Gull (intermedius),Lesser Black-backed Gulls (intermedius)
Lesser Black-backed Gull (graellsii),Lesser Black-backed Gull (graellsii),Lesser Black-backed Gulls (graellsii)
Glaucous Gull,Glaucous Gull,Glaucous Gulls
Great Black-backed Gull,Great Black-backed Gull,Great Black-backed Gulls
Brown Noddy,Brown Noddy,Brown Noddies
Sooty Tern,Sooty Tern,Sooty Terns
Bridled Tern,Bridled Tern,Bridled Terns
Little Tern,Little Tern,Little Terns
Gull-billed Tern,Gull-billed Tern,Gulls-billed Terns
Caspian Tern,Caspian Tern,Caspian Terns
Black Tern,Black Tern,Black Terns
Black Tern (American),American Black Tern,American Black Terns
White-winged Tern,White-winged Tern,White-winged Terns
Whiskered Tern,Whiskered Tern,Whiskered Terns
Tern sp.,Tern sp.,Tern sp.
Common/Arctic Tern,Common/Arctic Tern,Common/Arctic Terns
Roseate Tern,Roseate Tern,Roseate Terns
Common Tern,Common Tern,Common Terns
Arctic Tern,Arctic Tern,Arctic Terns
Forster's Tern,Forster's Tern,Forster's Terns
Royal Tern,Royal Tern,Royal Terns
Sandwich Tern,Sandwich Tern,Sandwich Terns
Elegant Tern,Elegant Tern,Elegant Terns
Lesser Crested Tern,Lesser Crested Tern,Lesser Crested Terns
Pin-tailed Sandgrouse,Pin-tailed Sandgrouse,Pin-tailed Sandgrouse
Black-bellied Sandgrouse,Black-bellied Sandgrouse,Black-bellied Sandgrouse
Rock Pigeon (Feral Pigeon),Feral Pigeon,Feral Pigeons
Rock Pigeon,Rock Pigeon,Rock Pigeons
Stock Dove,Stock Dove,Stock Doves
Common Wood-Pigeon,Wood Pigeon,Wood Pigeons
European Turtle-Dove,Turtle Dove,Turtle Doves
Eurasian Collared-Dove,Collared Dove,Collared Doves
African Collared-Dove,African Collared Dove,African Collared Doves
Laughing Dove,Laughing Dove,Laughing Doves
Namaqua Dove,Namaqua Dove,Namaqua Doves
Diamond Dove,Diamond Dove,Diamond Doves
Common Ground-Dove,Common Ground Dove,Common Ground Doves
Croaking Ground-Dove,Croaking Ground Dove,Croaking Ground Doves
Great Spotted Cuckoo,Great Spotted Cuckoo,Great Spotted Cuckoos
Common Cuckoo,Cuckoo,Cuckoos
Yellow-billed Cuckoo,Yellow-billed Cuckoo,Yellow-billed Cuckoos
Black-billed Cuckoo,Black-billed Cuckoo,Black-billed Cuckoos
Barn Owl,Barn Owl,Barn Owls
European Scops-Owl,Scops Owl,Scops Owls
Eurasian Eagle-Owl,Eagle-Owl,Eagles-Owls
Snowy Owl,Snowy Owl,Snowy Owls
Little Owl,Little Owl,Little Owls
Tawny Owl,Tawny Owl,Tawny Owls
Long-eared Owl,Long-eared Owl,Long-eared Owls
Short-eared Owl,Short-eared Owl,Short-eared Owls
Marsh Owl,Marsh Owl,Marsh Owls
Common Nighthawk,Common Nighthawk,Common Nighthawks
Red-necked Nightjar,Red-necked Nightjar,Red-necked Nightjars
Eurasian Nightjar,Nightjar,Nightjars
Chimney Swift,Chimney Swift,Chimney Swifts
Swift sp.,Swift sp.,Swift sp.
Common/Pallid Swift,Common/Pallid Swift,Common/Pallid Swifts
Alpine Swift,Alpine Swift,Alpine Swifts
Common Swift,Swift,Swifts
Plain Swift,Plain Swift,Plain Swifts
Pallid Swift,Pallid Swift,Pallid Swifts
Little Swift,Little Swift,Little Swifts
White-rumped Swift,White-rumped Swift,White-rumped Swifts
Common Kingfisher,Kingfisher,Kingfishers
Belted Kingfisher,Belted Kingfisher,Belted Kingfishers
European Bee-eater,Bee-eater,Bee-eaters
European Roller,Roller,Rollers
Eurasian Hoopoe,Hoopoe,Hoopoes
Eurasian Wryneck,Wryneck,Wrynecks
Yellow-bellied Sapsucker,Yellow-bellied Sapsucker,Yellow-bellied Sapsuckers
Lesser Spotted Woodpecker,Lesser Spotted Woodpecker,Lesser Spotted Woodpeckers
Middle Spotted Woodpecker,Middle Spotted Woodpecker,Middle Spotted Woodpeckers
Great Spotted Woodpecker,Great Spotted Woodpecker,Great Spotted Woodpeckers
Black Woodpecker,Black Woodpecker,Black Woodpeckers
Green Woodpecker,Green Woodpecker,Green Woodpeckers
Falcon sp.,Falcon sp.,Falcon sp.
Lesser Kestrel,Lesser Kestrel,Lesser Kestrels
Eurasian Kestrel,Kestrel,Kestrels
American Kestrel,American Kestrel,American Kestrels
Red-footed Falcon,Red-footed Falcon,Red-footed Falcons
Eleonora's Falcon,Eleonora's Falcon,Eleonora's Falcons
Merlin,Merlin,Merlins
Eurasian Hobby,Hobby,Hobbies
Lanner Falcon,Lanner Falcon,Lanner Falcons
Saker Falcon,Saker Falcon,Saker Falcons
Gyrfalcon,Gyrfalcon,Gyrfalcons
Peregrine Falcon,Peregrine Falcon,Peregrine Falcons
Barbary Falcon,Barbary Falcon,Barbary Falcons
Tanimbar Corella,Tanimbar Corella,Tanimbar Corella
Cockatiel,Cockatiel,Cockatiels
Red Lory,Red Lory,Red Lories
Budgerigar,Budgerigar,Budgerigars
Rose-ringed Parakeet,Rose-ringed Parakeet,Rose-ringed Parakeets
Rosy-faced Lovebird,Rosy-faced Lovebird,Rosy-faced Lovebirds
Gray Parrot,Grey Parrot,Grey Parrots
Senegal Parrot,Senegal Parrot,Senegal Parrots
Nanday Parakeet,Nanday Parakeet,Nanday Parakeets
Burrowing Parakeet,Burrowing Parrot,Burrowing Parrots
Monk Parakeet,Monk Parakeet,Monk Parakeets
Blue-crowned Parakeet,Blue-crowned Parakeet,Blue-crowned Parakeets
Blue-and-yellow Macaw,Blue-and-yellow Macaw,Blue-and-yellow Macaws
Passerine sp.,Passerine sp.,Passerine sp.
Red-backed Shrike,Red-backed Shrike,Red-backed Shrikes
Northern Shrike,Great Grey Shrike,Great Grey Shrikes
Southern Gray Shrike,Southern Grey Shrike,Southern Grey Shrikes
Woodchat Shrike,Woodchat Shrike,Woodchat Shrikes
White-eyed Vireo,White-eyed Vireo,White-eyed Vireos
Yellow-throated Vireo,Yellow-throated Vireo,Yellow-throated Vireos
Philadelphia Vireo,Philadelphia Vireo,Philadelphia Vireos
Red-eyed Vireo,Red-eyed Vireo,Red-eyed Vireos
Eurasian Golden Oriole,Golden Oriole,Golden Orioles
Eurasian Jay,Jay,Jays
Iberian Magpie,Azure-winged Magpie,Azure-winged Magpies
Azure-winged Magpie,Azure-winged Magpie,Azure-winged Magpies
Eurasian Magpie,Magpie,Magpies
Eurasian Nutcracker,Spotted Nutcracker,Spotted Nutcrackers
Red-billed Chough,Chough,Choughs
Eurasian Jackdaw,Jackdaw,Jackdaws
Rook,Rook,Rooks
Carrion Crow,Carrion Crow,Carrion Crows
Hooded Crow,Hooded Crow,Hooded Crows
Brown-necked Raven,Brown-necked Raven,Brown-necked Ravens
Common Raven,Raven,Ravens
Lark sp.,Lark sp.,Lark sp.
Dupont's Lark,Dupont's Lark,Dupont's Larks
Calandra Lark,Calandra Lark,Calandra Larks
Greater Short-toed Lark,Short-toed Lark,Short-toed Larks
Lesser Short-toed Lark,Lesser Short-toed Lark,Lesser Short-toed Larks
Crested Lark,Crested Lark,Crested Larks
Thekla Lark,Thekla Lark,Thekla Larks
Crested/Thekla Lark,Crested/Thekla Lark,Crested/Thekla Larks
Sky Lark,Skylark,Skylarks
Wood Lark,Woodlark,Woodlark
Purple Martin,Purple Martin,Purple Martins
Tree Swallow,Tree Swallow,Tree Swallows
Bank Swallow,Sand Martin,Sand Martins
Eurasian Crag-Martin,Crag Martin,Crag Martins
Barn Swallow,Swallow,Barn Swallows
Barn Swallow (White-bellied),Swallow (rustica),
Barn Swallow (American),American Barn Swallow,American Barn Swallows
Red-rumped Swallow,Red-rumped Swallow,Red-rumped Swallows
Cliff Swallow,American Cliff Swallow,American Cliff Swallows
Common House-Martin,House Martin,House Martins
Coal Tit,Coal Tit,Coal Tits
Crested Tit,Crested Tit,Crested Tits
Great Tit,Great Tit,Great Tits
Eurasian Blue Tit,Blue Tit,Blue Tits
Eurasian Penduline-Tit,Penduline Tit,Penduline Tits
Long-tailed Tit,Long-tailed Tit,Long-tailed Tits
Long-tailed Tit (alpinus),Long-tailed Tit (alpinus),Long-tailed Tits (alpinus)
Eurasian Nuthatch,Nuthatch,Nuthatches
Wallcreeper,Wallcreeper,Wallcreepers
Short-toed Treecreeper,Short-toed Treecreeper,Short-toed Treecreepers
Eurasian Wren,Wren,Wrens
White-throated Dipper,White-throated Dipper,White-throated Dippers
Goldcrest,Goldcrest,Goldcrests
Firecrest,Firecrest,Firecrests
Cetti's Warbler,Cetti's Warbler,Cetti's Warblers
Phylloscopus sp.,Phylloscopus sp.,Phylloscopus sp.
Willow Warbler/Chiffchaff,Willow Warbler/Chiffchaff,Willow Warbler/Chiffchaff
Iberian/Common Chiffchaff,Iberian/Common Chiffchaff,Iberian/Common Chiffchaff
Willow Warbler,Willow Warbler,Willow Warblers
Common Chiffchaff,Chiffchaff,Chiffchaffs
Common Chiffchaff (collybita),Chiffchaff (collybita),Chiffchaffs (collybita)
Iberian Chiffchaff,Iberian Chiffchaff,Iberian Chiffchaffs
Western Bonelli's Warbler,Western Bonelli's Warbler,Western Bonelli's Warblers
Eastern Bonelli's Warbler,Eastern Bonelli's Warbler,Eastern Bonelli's Warblers
Wood Warbler,Wood Warbler,Wood Warblers
Dusky Warbler,Dusky Warbler,Dusky Warblers
Pallas's Leaf-Warbler,Pallas's Warbler,Pallas's Warblers
Yellow-browed Warbler,Yellow-browed Warbler,Yellow-browed Warblers
Arctic Warbler,Arctic Warbler,Arctic Warblers
Western Olivaceous Warbler,Western Olivaceous Warbler,Western Olivaceous Warblers
Melodious Warbler,Melodious Warbler,Melodious Warblers
Icterine Warbler,Icterine Warbler,Icterine Warblers
Aquatic Warbler,Aquatic Warbler,Aquatic Warblers
Moustached Warbler,Moustached Warbler,Moustached Warblers
Sedge Warbler,Sedge Warbler,Sedge Warblers
Paddyfield Warbler,Paddyfield Warbler,Paddyfield Warblers
Blyth's Reed-Warbler,Blyth's Reed Warbler,Blyth's Reed Warblers
Marsh Warbler,Marsh Warbler,Marsh Warblers
Eurasian Reed-Warbler,Reed Warbler,Reed Warblers
Great Reed-Warbler,Great Reed Warbler,Great Reed Warblers
Savi's Warbler,Savi's Warbler,Savi's Warblers
Common Grasshopper-Warbler,Grasshopper Warbler,Grasshopper Warblers
Zitting Cisticola,Zitting Cisticola,Zitting Cisticola
Sylvia sp.,Sylvia sp.,Sylvia sp.
Blackcap,Blackcap,Blackcaps
Garden Warbler,Garden Warbler,Garden Warblers
Barred Warbler,Barred Warbler,Barred Warblers
Lesser Whitethroat,Lesser Whitethroat,Lesser Whitethroats
Western Orphean Warbler,Western Orphean Warbler,Western Orphean Warblers
