(internal) id,(source) id,pubmed id,consensus,jgmmanzano,MGEORGE,gpratt,MGEORGE1,normando
936961,1881,none,x,-1,1,-1,1,1
936962,1872,none,1,1,1,o,o,o
936963,2242,none,-1,-1,-1,o,o,o
936965,1934,none,1,1,1,o,o,o
936966,2190,none,-1,-1,-1,o,o,o
936967,2752,none,1,1,1,o,o,o
936968,1129,none,-1,-1,-1,o,o,o
936969,267,none,x,1,-1,o,o,o
936971,559,none,1,1,1,o,o,o
936972,2586,none,1,1,1,o,o,o
936973,2046,none,1,1,1,o,o,o
936974,2050,none,1,1,1,o,o,o
936975,1673,none,o,-1,o,o,o,o
936976,2008,none,x,-1,1,o,o,o
936977,2455,none,x,-1,1,o,o,o
936978,1035,none,-1,-1,-1,o,o,o
936980,3120,none,o,-1,o,o,o,o
936981,2619,none,-1,-1,-1,-1,-1,-1
936985,1990,none,x,-1,1,o,o,o
936986,746,none,-1,-1,-1,o,o,o
936987,1183,none,1,1,1,o,o,o
936988,1130,none,1,1,1,o,o,o
936989,1951,none,o,-1,o,o,o,o
936990,986,none,1,1,1,o,o,o
936991,420,none,1,1,1,o,o,o
936993,2244,none,-1,-1,-1,o,o,o
936995,1230,none,-1,-1,-1,o,o,o
936996,2223,none,-1,-1,-1,o,o,o
936997,1023,none,1,1,1,o,o,o
936998,1156,none,1,1,1,o,o,o
936999,2123,none,1,1,1,o,o,o
937001,2755,none,o,-1,o,o,o,o
937002,2089,none,-1,-1,-1,o,o,o
937003,433,none,1,1,1,o,o,o
937004,634,none,-1,-1,-1,o,o,o
937005,1971,none,o,-1,o,o,o,o
937007,2047,none,o,-1,o,o,o,o
937008,645,none,1,1,1,o,o,o
937009,2508,none,1,1,1,o,o,o
937010,2751,none,x,-1,1,o,o,o
937012,2024,none,-1,-1,-1,o,o,o
937013,145,none,x,1,-1,o,o,o
937015,3018,none,x,-1,1,o,o,o
937016,584,none,x,0,-1,o,o,o
937017,1133,none,-1,-1,-1,o,o,o
937018,1146,none,-1,-1,-1,o,o,o
937019,407,none,x,0,1,o,o,o
937020,2471,none,x,0,1,o,o,o
937022,382,none,-1,-1,-1,-1,-1,-1
937023,1027,none,1,1,1,o,o,o
937024,1614,none,-1,-1,-1,o,o,o
937025,1682,none,x,-1,1,o,o,o
937026,3309,none,o,-1,o,o,o,o
937027,1845,none,x,-1,1,o,o,o
937028,1284,none,x,-1,1,o,o,o
937031,375,none,-1,-1,-1,o,o,o
937032,360,none,1,1,1,o,o,o
937033,982,none,-1,-1,-1,o,o,o
937036,3273,none,o,-1,o,o,o,o
937037,1457,none,x,0,1,o,o,o
937038,453,none,1,1,1,o,o,o
937040,2938,none,x,0,-1,o,o,o
937041,1564,none,x,-1,1,o,o,o
937042,73,none,1,1,1,o,o,o
937043,1930,none,-1,-1,-1,o,o,o
937044,1202,none,o,-1,o,o,o,o
937047,1950,none,x,1,-1,o,o,o
937048,2392,none,1,1,1,o,o,o
937050,2569,none,-1,-1,-1,o,o,o
937054,1334,none,o,-1,o,o,o,o
937055,969,none,o,-1,o,o,o,o
937056,61,none,x,0,-1,o,o,o
937057,3213,none,o,-1,o,o,o,o
937058,367,none,o,1,o,o,o,o
937059,1637,none,o,1,o,o,o,o
937060,413,none,o,-1,o,o,o,o
937062,751,none,o,1,o,o,o,o
937063,1744,none,-1,-1,-1,-1,-1,-1
937064,43,none,o,-1,o,o,o,o
937067,522,none,o,1,o,o,o,o
937068,63,none,o,1,o,o,o,o
937070,1510,none,o,1,o,o,o,o
937071,2617,none,-1,-1,-1,o,o,o
937072,643,none,1,1,1,o,o,o
937073,380,none,o,-1,o,o,o,o
937074,1842,none,o,1,o,o,o,o
937075,1610,none,o,1,o,o,o,o
937078,1513,none,o,-1,o,o,o,o
937079,734,none,o,1,o,o,o,o
937080,878,none,o,1,o,o,o,o
937082,1592,none,o,-1,o,o,o,o
937084,2972,none,o,-1,o,o,o,o
937085,991,none,o,1,o,o,o,o
937086,1491,none,o,-1,o,o,o,o
937087,1163,none,o,-1,o,o,o,o
937088,1405,none,1,1,1,o,o,o
937089,2832,none,x,-1,-1,0,-1,0
937090,128,none,o,1,o,o,o,o
937091,981,none,o,1,o,o,o,o
937092,968,none,o,1,o,o,o,o
937093,688,none,o,1,o,o,o,o
937096,610,none,o,1,o,o,o,o
937097,2091,none,o,-1,o,o,o,o
937098,3223,none,o,1,o,o,o,o
937100,2032,none,o,1,o,o,o,o
937101,1224,none,o,1,o,o,o,o
937103,1602,none,o,0,o,o,o,o
937104,2929,none,o,1,o,o,o,o
937105,1777,none,o,1,o,o,o,o
937106,2807,none,o,-1,o,o,o,o
937107,1600,none,o,1,o,o,o,o
937108,1004,none,1,1,1,o,o,o
937109,2347,none,x,1,-1,o,o,o
937110,328,none,-1,-1,-1,o,o,o
937111,1832,none,1,1,1,o,o,o
937112,3068,none,o,1,o,o,o,o
937113,1760,none,1,1,1,o,o,o
937114,1521,none,1,1,1,o,o,o
937115,1864,none,1,1,1,o,o,o
937116,1892,none,x,-1,1,o,o,o
937118,678,none,o,-1,o,o,o,o
937119,2779,none,o,1,o,o,o,o
937121,2363,none,o,1,o,o,o,o
937122,257,none,o,1,o,o,o,o
937123,250,none,o,1,o,o,o,o
937125,2218,none,o,1,o,o,o,o
937126,55,none,o,1,o,o,o,o
937127,1211,none,o,-1,o,o,o,o
937128,1213,none,o,1,o,o,o,o
937130,483,none,o,1,o,o,o,o
937133,2730,none,o,1,o,o,o,o
937134,1746,none,o,1,o,o,o,o
937135,31,none,-1,-1,-1,o,o,o
937136,1288,none,o,1,o,o,o,o
937137,2335,none,o,-1,o,o,o,o
937138,1639,none,o,1,o,o,o,o
937139,2163,none,o,1,o,o,o,o
937141,647,none,o,-1,o,o,o,o
937142,1360,none,o,-1,o,o,o,o
937144,1897,none,1,1,1,o,o,o
937145,1305,none,o,1,o,o,o,o
937146,3301,none,x,-1,-1,-1,-1,0
937148,482,none,o,-1,o,o,o,o
937149,499,none,o,-1,o,o,o,o
937150,1697,none,-1,-1,-1,o,o,o
937152,2836,none,o,1,o,o,o,o
937153,2524,none,o,-1,o,o,o,o
937154,1559,none,o,-1,o,o,o,o
937155,621,none,o,1,o,o,o,o
937158,440,none,o,1,o,o,o,o
937159,887,none,o,-1,o,o,o,o
937162,388,none,o,1,o,o,o,o
937163,2554,none,o,-1,o,o,o,o
937165,2922,none,-1,-1,-1,o,o,o
937167,1000,none,o,-1,o,o,o,o
937168,694,none,-1,-1,-1,o,o,o
937170,2374,none,o,1,o,o,o,o
937171,2810,none,o,-1,o,o,o,o
937172,234,none,o,1,o,o,o,o
937173,3040,none,x,0,1,o,o,o
937174,173,none,o,1,o,o,o,o
937177,903,none,o,-1,o,o,o,o
937179,49,none,o,-1,o,o,o,o
937180,3340,none,o,-1,o,o,o,o
937181,2753,none,o,-1,o,o,o,o
937183,1945,none,o,-1,o,o,o,o
937184,1299,none,o,-1,o,o,o,o
937185,2503,none,o,-1,o,o,o,o
937186,477,none,o,1,o,o,o,o
937188,190,none,x,-1,1,-1,1,1
937190,2450,none,o,-1,o,o,o,o
937191,1876,none,o,1,o,o,o,o
937192,933,none,o,1,o,o,o,o
937193,2923,none,o,1,o,o,o,o
937195,2699,none,o,-1,o,o,o,o
937197,2020,none,o,-1,o,o,o,o
937198,840,none,o,1,o,o,o,o
937199,1823,none,o,1,o,o,o,o
937200,515,none,o,1,o,o,o,o
937201,1117,none,o,1,o,o,o,o
937202,2055,none,o,-1,o,o,o,o
937203,632,none,o,1,o,o,o,o
937205,2495,none,o,1,o,o,o,o
937206,3260,none,o,-1,o,o,o,o
937207,2930,none,o,1,o,o,o,o
937208,3195,none,o,-1,o,o,o,o
937209,191,none,-1,-1,-1,o,o,o
937210,1793,none,o,1,o,o,o,o
937212,259,none,o,1,o,o,o,o
937213,348,none,o,-1,o,o,o,o
937214,922,none,o,1,o,o,o,o
937215,1995,none,x,0,-1,o,1,-1
937218,161,none,o,1,o,o,o,o
937219,1280,none,o,-1,o,o,o,o
937220,529,none,o,1,o,o,o,o
937222,2124,none,o,1,o,o,o,o
937223,1537,none,o,1,o,o,o,o
937224,2056,none,x,-1,1,o,1,0
937225,2414,none,o,-1,o,o,o,o
937227,381,none,o,1,o,o,o,o
937228,1210,none,o,-1,o,o,o,o
937229,1273,none,o,-1,o,o,o,o
937230,2045,none,o,-1,o,o,o,o
937231,1598,none,o,1,o,o,o,o
937232,599,none,o,-1,o,o,o,o
937233,4,none,o,-1,o,o,o,o
937234,908,none,o,1,o,o,o,o
937235,716,none,o,-1,o,o,o,o
937236,2063,none,o,1,o,o,o,o
937237,3185,none,o,1,o,o,o,o
937238,1352,none,o,1,o,o,o,o
937240,650,none,o,1,o,o,o,o
937241,2513,none,o,1,o,o,o,o
937243,951,none,o,1,o,o,o,o
937244,124,none,o,1,o,o,o,o
937245,1803,none,o,1,o,o,o,o
937246,427,none,o,1,o,o,o,o
937248,2997,none,o,1,o,o,o,o
937250,600,none,o,-1,o,o,o,o
937251,1249,none,o,1,o,o,o,o
937252,1734,none,o,-1,o,o,o,o
937253,1794,none,o,1,o,o,o,o
937254,2795,none,o,1,o,o,o,o
937256,2849,none,o,1,o,o,o,o
937258,1062,none,o,1,o,o,o,o
937259,2646,none,o,1,o,o,o,o
937262,1075,none,o,-1,o,o,o,o
937263,2637,none,o,-1,o,o,o,o
937264,3338,none,o,-1,o,o,o,o
937267,197,none,o,1,o,o,o,o
937268,1084,none,o,1,o,o,o,o
937271,2568,none,o,-1,o,o,o,o
937273,42,none,o,1,o,o,o,o
937275,395,none,o,1,o,o,o,o
937276,791,none,o,-1,o,o,o,o
937277,804,none,o,1,o,o,o,o
937279,1887,none,o,1,o,o,o,o
937280,1182,none,o,1,o,o,o,o
937281,2253,none,o,1,o,o,o,o
937282,1669,none,o,-1,o,o,o,o
937283,2643,none,o,-1,o,o,o,o
937284,2871,none,o,-1,o,o,o,o
937285,1593,none,o,-1,o,o,o,o
937286,1400,none,o,1,o,o,o,o
937288,338,none,o,1,o,o,o,o
937289,1651,none,o,-1,o,o,o,o
937290,2395,none,o,-1,o,o,o,o
937294,2953,none,o,-1,o,o,o,o
937295,1291,none,o,1,o,o,o,o
937296,2160,none,o,1,o,o,o,o
937297,1603,none,o,1,o,o,o,o
937298,2740,none,o,-1,o,o,o,o
937300,1173,none,o,-1,o,o,o,o
937301,2739,none,1,1,1,o,1,o
937303,1292,none,o,1,o,o,o,o
937304,99,none,o,1,o,o,o,o
937305,664,none,o,-1,o,o,o,o
937306,1901,none,o,-1,o,o,o,o
937307,2387,none,o,1,o,o,o,o
937308,1485,none,o,1,o,o,o,o
937309,3087,none,o,1,o,o,o,o
937310,1729,none,o,1,o,o,o,o
937311,1436,none,o,-1,o,o,o,o
937313,2187,none,-1,-1,-1,o,o,o
937314,846,none,-1,-1,-1,o,o,o
937315,735,none,1,1,1,o,o,o
937316,1214,none,-1,-1,-1,o,o,o
937317,1524,none,x,-1,1,o,o,o
937318,370,none,1,1,1,o,o,o
937320,424,none,-1,-1,-1,o,o,o
937321,293,none,1,1,1,o,o,o
937322,866,none,1,1,1,o,o,o
937323,298,none,o,1,o,o,o,o
937324,2003,none,1,1,1,o,o,o
937325,389,none,1,1,1,o,o,o
937326,2023,none,o,-1,o,o,o,o
937327,2338,none,o,-1,o,o,o,o
937328,2815,none,o,o,-1,o,o,o
937329,100,none,o,1,o,o,o,o
937330,131,none,o,1,o,o,o,o
937331,1241,none,o,1,o,o,o,o
937332,3147,none,o,-1,o,o,o,o
937333,258,none,o,1,o,o,o,o
937334,1730,none,o,1,o,o,o,o
937335,1297,none,o,-1,o,o,o,o
937336,199,none,o,-1,o,o,o,o
937337,1192,none,o,-1,o,o,o,o
937339,3015,none,o,-1,o,o,o,o
937340,2236,none,o,1,o,o,o,o
937342,1616,none,o,-1,o,o,o,o
937344,1812,none,o,-1,o,o,o,o
937345,146,none,o,-1,o,o,o,o
937348,2768,none,x,-1,-1,o,-1,0
937350,2629,none,o,-1,o,o,o,o
937351,97,none,o,1,o,o,o,o
937352,1594,none,o,-1,o,o,o,o
937354,2911,none,o,-1,o,o,o,o
937356,1198,none,o,-1,o,o,o,o
937357,923,none,o,1,o,o,o,o
937358,2987,none,o,-1,o,o,o,o
937359,1684,none,o,1,o,o,o,o
937360,44,none,o,-1,o,o,o,o
937361,3140,none,o,-1,o,o,o,o
937362,1474,none,o,-1,o,o,o,o
937364,1221,none,o,-1,o,o,o,o
937365,2610,none,o,-1,o,o,o,o
937366,1051,none,o,1,o,o,o,o
937367,1857,none,o,-1,o,o,o,o
937368,2208,none,o,-1,o,o,o,o
937369,357,none,o,1,o,o,o,o
937370,53,none,o,-1,o,o,o,o
937376,2642,none,o,-1,o,o,o,o
937377,1199,none,o,1,o,o,o,o
937378,1587,none,o,1,o,o,o,o
937379,2541,none,o,-1,o,o,o,o
937381,3034,none,o,-1,o,o,o,o
937382,306,none,o,1,o,o,o,o
937383,493,none,o,1,o,o,o,o
937385,2482,none,o,-1,o,o,o,o
937386,3175,none,0,0,0,o,o,o
937387,1568,none,o,-1,o,o,o,o
937388,32,none,o,1,o,o,o,o
937389,719,none,o,-1,o,o,o,o
937390,444,none,o,-1,o,o,o,o
937393,2695,none,o,-1,o,o,o,o
937395,1543,none,o,1,o,o,o,o
937397,113,none,o,1,o,o,o,o
937398,3386,none,o,-1,o,o,o,o
937399,2600,none,o,1,o,o,o,o
937405,2069,none,o,0,o,o,o,o
937406,1815,none,o,-1,o,o,o,o
937407,1283,none,o,1,o,o,o,o
937408,1605,none,-1,-1,-1,o,o,o
937409,2442,none,o,-1,o,o,o,o
937412,572,none,o,1,o,o,o,o
937413,2979,none,o,1,o,o,o,o
937416,748,none,o,-1,o,o,o,o
937419,274,none,o,1,o,o,o,o
937421,1538,none,o,-1,o,o,o,o
937422,1782,none,o,-1,o,o,o,o
937423,960,none,o,1,o,o,o,o
937424,672,none,o,-1,o,o,o,o
937426,857,none,o,-1,o,o,o,o
937427,214,none,o,-1,o,o,o,o
937428,1346,none,o,1,o,o,o,o
937430,17,none,o,1,o,o,o,o
937432,392,none,o,-1,o,o,o,o
937434,2062,none,o,1,o,o,o,o
937436,714,none,o,1,o,o,o,o
937437,1255,none,o,-1,o,o,o,o
937439,679,none,-1,-1,-1,o,o,o
937442,1440,none,o,1,o,o,o,o
937443,372,none,o,1,o,o,o,o
937444,1986,none,o,1,o,o,o,o
937449,1527,none,o,-1,o,o,o,o
937450,1809,none,o,-1,o,o,o,o
937451,120,none,o,1,o,o,o,o
937452,1929,none,o,-1,o,o,o,o
937453,924,none,o,1,o,o,o,o
937455,1073,none,o,1,o,o,o,o
937456,1700,none,o,1,o,o,o,o
937457,745,none,o,1,o,o,o,o
937458,609,none,o,1,o,o,o,o
937459,1620,none,o,1,o,o,o,o
937464,2322,none,o,1,o,o,o,o
937465,2527,none,o,1,o,o,o,o
937466,504,none,o,1,o,o,o,o
937467,1994,none,o,-1,o,o,o,o
937468,336,none,o,1,o,o,o,o
937470,3205,none,o,1,o,o,o,o
937471,821,none,o,1,o,o,o,o
937472,1923,none,o,-1,o,o,o,o
937473,1464,none,o,-1,o,o,o,o
937475,369,none,o,1,o,o,o,o
937476,2658,none,o,1,o,o,o,o
937478,1496,none,o,1,o,o,o,o
937479,983,none,o,1,o,o,o,o
937480,13,none,o,1,o,o,o,o
937482,2544,none,o,1,o,o,o,o
937483,624,none,o,1,o,o,o,o
937484,635,none,o,-1,o,o,o,o
937485,1226,none,o,-1,o,o,o,o
937486,3252,none,o,-1,o,o,o,o
937487,1783,none,o,-1,o,o,o,o
937488,557,none,o,-1,o,o,o,o
937489,2996,none,o,1,o,o,o,o
937490,822,none,o,1,o,o,o,o
937492,2434,none,o,1,o,o,o,o
937494,220,none,o,1,o,o,o,o
937496,144,none,o,1,o,o,o,o
937497,2854,none,o,1,o,o,o,o
937499,3100,none,o,1,o,o,o,o
937501,57,none,o,-1,o,o,o,o
937502,1351,none,o,-1,o,o,o,o
937503,1386,none,o,-1,o,o,o,o
937504,1925,none,o,1,o,o,o,o
937505,783,none,o,-1,o,o,o,o
937506,177,none,o,1,o,o,o,o
937508,1047,none,o,1,o,o,o,o
937510,1494,none,o,1,o,o,o,o
937511,2189,none,o,-1,o,o,o,o
937512,2784,none,o,1,o,o,o,o
937514,1875,none,o,1,o,o,o,o
937515,1963,none,o,0,o,o,o,o
937516,627,none,1,1,1,o,o,o
937517,1239,none,o,-1,o,o,o,o
937518,3052,none,o,-1,o,o,o,o
937519,1572,none,o,-1,o,o,o,o
937520,83,none,1,1,1,o,o,o
937525,473,none,o,1,o,o,o,o
937526,1145,none,o,1,o,o,o,o
937527,2585,none,o,-1,o,o,o,o
937528,2510,none,o,-1,o,o,o,o
937529,2971,none,o,-1,o,o,o,o
937530,320,none,o,1,o,o,o,o
937531,1644,none,o,-1,o,o,o,o
937532,620,none,o,1,o,o,o,o
937533,62,none,o,-1,o,o,o,o
937536,464,none,o,1,o,o,o,o
937537,2920,none,o,-1,o,o,o,o
937540,436,none,o,1,o,o,o,o
937543,2096,none,-1,-1,-1,o,o,o
937544,252,none,o,-1,o,o,o,o
937545,465,none,o,1,o,o,o,o
937546,1137,none,o,1,o,o,o,o
937548,2985,none,o,-1,o,o,o,o
937549,2037,none,o,1,o,o,o,o
937550,1890,none,o,1,o,o,o,o
937551,1148,none,o,1,o,o,o,o
937552,2833,none,o,-1,o,o,o,o
937553,914,none,-1,-1,-1,o,o,o
937554,1169,none,o,1,o,o,o,o
937558,127,none,o,-1,o,o,o,o
937559,138,none,o,1,o,o,o,o
937560,2084,none,o,-1,o,o,o,o
937561,196,none,o,1,o,o,o,o
937562,3330,none,o,-1,o,o,o,o
937563,1438,none,o,-1,o,o,o,o
937566,607,none,1,1,1,o,o,o
937568,2576,none,o,1,o,o,o,o
937569,1150,none,o,1,o,o,o,o
937570,701,none,1,1,1,o,o,o
937571,114,none,o,1,o,o,o,o
937572,2082,none,o,1,o,o,o,o
937573,48,none,o,-1,o,o,o,o
937575,1274,none,o,1,o,o,o,o
937576,2530,none,o,1,o,o,o,o
937579,1884,none,o,1,o,o,o,o
937580,2309,none,o,1,o,o,o,o
937581,205,none,-1,-1,-1,o,o,o
937582,446,none,o,1,o,o,o,o
937583,284,none,o,1,o,o,o,o
937585,686,none,o,-1,o,o,o,o
937587,3193,none,o,-1,o,o,o,o
937589,1766,none,o,-1,o,o,o,o
937590,2749,none,o,-1,o,o,o,o
937592,2539,none,o,1,o,o,o,o
937593,239,none,o,1,o,o,o,o
937594,1432,none,o,1,o,o,o,o
937595,268,none,o,-1,o,o,o,o
937596,3336,none,o,1,o,o,o,o
937598,2549,none,o,-1,o,o,o,o
937600,758,none,o,o,-1,o,o,o
937601,2152,none,o,-1,o,o,o,o
937602,2409,none,1,1,1,o,o,o
937604,2330,none,o,-1,o,o,o,o
937606,1019,none,o,1,o,o,o,o
937607,3143,none,o,1,o,o,o,o
937608,906,none,o,-1,o,o,o,o
937609,823,none,o,-1,o,o,o,o
937610,813,none,o,1,o,o,o,o
937612,2528,none,o,1,o,o,o,o
937614,1827,none,o,1,o,o,o,o
937616,3177,none,o,-1,o,o,o,o
937618,2770,none,o,-1,o,o,o,o
937619,1706,none,o,1,o,o,o,o
937620,975,none,o,-1,o,o,o,o
937621,378,none,o,1,o,o,o,o
937622,2775,none,o,-1,o,o,o,o
937624,2375,none,1,1,1,o,o,o
937625,1264,none,o,1,o,o,o,o
937629,2734,none,o,1,o,o,o,o
937630,548,none,o,1,o,o,o,o
937631,324,none,o,-1,o,o,o,o
937632,1452,none,o,1,o,o,o,o
937633,2518,none,o,-1,o,o,o,o
937635,1318,none,o,1,o,o,o,o
937636,2880,none,o,1,o,o,o,o
937639,1638,none,o,1,o,o,o,o
937640,311,none,o,1,o,o,o,o
937642,1743,none,o,0,o,o,o,o
937643,1645,none,1,1,1,o,o,o
937645,2429,none,1,1,1,o,o,o
937648,1478,none,1,1,1,o,o,o
937649,2139,none,o,-1,o,o,o,o
937651,262,none,1,1,1,o,o,o
937652,838,none,1,1,1,o,o,o
937653,1304,none,1,1,1,o,o,o
937654,2645,none,-1,-1,-1,o,o,o
937655,3324,none,x,1,-1,o,o,o
937657,1978,none,1,1,1,o,o,o
937658,1516,none,o,1,o,o,o,o
937660,1481,none,o,-1,o,o,o,o
937662,1272,none,1,1,1,o,o,o
937663,469,none,o,-1,o,o,o,o
937664,135,none,-1,-1,-1,o,o,o
937667,1975,none,1,1,1,o,o,o
937668,3217,none,o,-1,o,o,o,o
937669,845,none,o,-1,o,o,o,o
937670,341,none,1,1,1,o,o,o
937675,379,none,1,1,1,o,o,o
937677,508,none,1,1,1,o,o,o
937678,1585,none,1,1,1,o,o,o
937679,3115,none,o,o,1,o,o,o
937680,1792,none,1,1,1,o,o,o
937685,725,none,1,1,1,o,o,o
937686,1001,none,-1,-1,-1,o,o,o
937687,20,none,x,-1,1,o,o,o
937688,1298,none,1,1,1,o,o,o
937689,2529,none,o,-1,o,o,o,o
937691,917,none,1,1,1,o,o,o
937692,738,none,-1,-1,-1,o,o,o
937693,2543,none,1,1,1,o,o,o
937694,1932,none,x,1,-1,o,o,o
937696,37,none,1,1,1,o,o,o
937698,2944,none,-1,-1,-1,o,o,o
937700,2840,none,1,1,1,o,o,o
937703,172,none,o,1,o,o,o,o
937704,2668,none,o,-1,o,o,o,o
937705,1962,none,1,1,1,o,o,o
937707,2021,none,x,1,-1,o,o,o
937710,2156,none,1,1,1,o,o,o
937711,640,none,1,1,1,o,o,o
937712,2400,none,o,1,o,o,o,o
937713,503,none,1,1,1,o,o,o
937714,1220,none,1,1,1,o,o,o
937715,1170,none,-1,-1,-1,o,o,o
937716,830,none,-1,-1,-1,o,o,o
937717,2234,none,-1,-1,-1,o,o,o
937718,1711,none,o,o,-1,o,o,o
937719,2853,none,1,1,1,o,o,o
937722,560,none,1,1,1,o,o,o
937723,2728,none,o,o,1,o,o,o
937724,972,none,o,o,1,o,o,o
937726,2679,none,o,o,-1,o,o,o
937728,1941,none,-1,-1,-1,o,o,o
937731,1294,none,o,-1,o,o,o,o
937732,1079,none,o,o,-1,o,o,o
937738,1460,none,x,-1,o,o,o,1
937739,193,none,o,o,1,o,o,o
937740,1530,none,o,o,1,o,o,o
937742,616,none,o,o,-1,o,o,o
937745,2147,none,o,o,1,o,o,o
937746,80,none,o,o,-1,o,o,o
937749,2290,none,o,1,o,o,o,o
937750,570,none,1,1,o,o,o,1
937751,629,none,1,1,o,o,o,1
937752,2075,none,x,-1,o,o,o,1
937753,68,none,1,1,o,o,o,1
937755,1693,none,x,-1,o,o,o,0
937756,1808,none,1,1,o,o,o,1
