(internal) id,(source) id,pubmed id,consensus,jgmmanzano,MGEORGE,gpratt,MGEORGE1,normando
936803,1937,none,o,1,o,o,o,o
936804,3003,none,-1,-1,-1,o,o,o
936805,386,none,o,1,o,o,o,o
936806,2570,none,o,1,o,o,o,o
936807,3134,none,x,1,-1,o,o,o
936808,3112,none,o,-1,o,o,o,o
936809,1748,none,o,-1,o,o,o,o
936811,3395,none,o,-1,o,o,o,o
936813,2511,none,-1,-1,-1,o,o,o
936814,2605,none,x,-1,-1,-1,0,0
936815,2431,none,-1,-1,-1,o,o,o
936816,2560,none,1,1,1,o,o,o
936817,3308,none,-1,-1,-1,o,o,o
936819,347,none,1,1,1,o,o,o
936820,1824,none,x,-1,1,o,o,o
936821,314,none,x,0,1,o,o,o
936822,82,none,1,1,1,o,o,o
936823,1735,none,o,-1,o,o,o,o
936824,1774,none,-1,-1,-1,o,o,o
936825,2146,none,x,-1,1,o,o,o
936827,642,none,1,1,1,o,o,o
936828,1101,none,-1,-1,-1,o,o,o
936829,1030,none,1,1,1,o,o,o
936830,1324,none,1,1,1,o,o,o
936833,2915,none,-1,-1,-1,o,o,o
936834,2868,none,x,-1,1,o,o,o
936835,353,none,o,-1,o,o,o,o
936836,1083,none,1,1,1,o,o,o
936837,2027,none,1,1,1,o,o,o
936838,3295,none,x,-1,1,o,o,o
936839,2574,none,-1,-1,-1,o,o,o
936840,2323,none,o,-1,o,o,o,o
936842,2771,none,-1,-1,-1,o,o,o
936845,2901,none,x,-1,1,o,o,o
936846,885,none,1,1,1,o,o,o
936847,3269,none,-1,-1,-1,o,o,o
936849,2038,none,1,1,1,o,o,o
936851,1308,none,o,-1,o,o,o,o
936852,430,none,o,-1,o,o,o,o
936854,1703,none,o,-1,o,o,o,o
936856,1435,none,o,-1,o,o,o,o
936857,657,none,o,0,o,o,o,o
936858,1128,none,o,-1,o,o,o,o
936860,2895,none,o,-1,o,o,o,o
936861,3099,none,o,-1,o,o,o,o
936864,2479,none,o,-1,o,o,o,o
936867,551,none,o,-1,o,o,o,o
936869,2267,none,o,-1,o,o,o,o
936870,404,none,o,1,o,o,o,o
936871,1472,none,o,1,o,o,o,o
936872,300,none,o,0,o,o,o,o
936873,157,none,o,1,o,o,o,o
936876,30,none,o,1,o,o,o,o
936877,2963,none,o,-1,o,o,o,o
936878,2427,none,o,-1,o,o,o,o
936879,1769,none,o,-1,o,o,o,o
936880,1008,none,o,-1,o,o,o,o
936881,270,none,o,1,o,o,o,o
936882,1506,none,o,-1,o,o,o,o
936883,84,none,o,1,o,o,o,o
936884,2004,none,o,1,o,o,o,o
936885,253,none,o,-1,o,o,o,o
936886,2100,none,o,-1,o,o,o,o
936887,2272,none,o,-1,o,o,o,o
936889,1479,none,o,-1,o,o,o,o
936890,2898,none,o,-1,o,o,o,o
936891,1406,none,o,0,o,o,o,o
936892,3094,none,o,-1,o,o,o,o
936893,1375,none,o,1,o,o,o,o
936894,590,none,o,-1,o,o,o,o
936895,3208,none,o,-1,o,o,o,o
936896,69,none,-1,-1,-1,-1,-1,-1
936897,2248,none,x,0,1,o,o,o
936898,118,none,1,1,1,o,o,o
936899,1526,none,-1,-1,-1,o,o,o
936900,1483,none,-1,-1,-1,o,o,o
936901,2344,none,1,1,1,o,o,o
936902,2472,none,x,-1,1,o,o,o
936904,397,none,-1,-1,-1,o,o,o
936905,1965,none,-1,-1,-1,o,o,o
936906,3311,none,-1,-1,-1,o,o,o
936909,1206,none,x,-1,1,o,o,o
936912,224,none,-1,-1,-1,o,o,o
936913,1919,none,o,1,o,o,o,o
936915,416,none,x,-1,1,o,o,o
936916,2226,none,1,1,1,o,o,o
936917,644,none,1,1,1,o,o,o
936921,1267,none,1,1,1,o,o,o
936922,1692,none,-1,-1,-1,o,o,o
936923,326,none,1,1,1,o,o,o
936924,875,none,-1,-1,-1,o,o,o
936925,1500,none,-1,-1,-1,o,o,o
936926,550,none,1,1,1,o,o,o
936928,2889,none,1,1,1,o,o,o
936929,195,none,1,1,1,o,o,o
936930,1107,none,x,1,-1,o,o,o
936931,2281,none,1,1,1,o,o,o
936933,1290,none,o,1,o,o,o,o
936934,2604,none,o,-1,o,o,o,o
936935,517,none,x,-1,1,o,o,o
936936,3249,none,o,-1,o,o,o,o
936937,2377,none,o,1,o,o,o,o
936938,2462,none,o,0,o,o,o,o
936939,2230,none,o,-1,o,o,o,o
936940,2193,none,o,-1,o,o,o,o
936942,935,none,-1,-1,-1,-1,-1,-1
936943,1445,none,o,1,o,o,o,o
936944,2122,none,o,1,o,o,o,o
936945,164,none,o,1,o,o,o,o
936946,703,none,o,1,o,o,o,o
936947,2426,none,o,1,o,o,o,o
936948,3326,none,o,-1,o,o,o,o
936949,3188,none,o,-1,o,o,o,o
936951,400,none,o,-1,o,o,o,o
936953,480,none,x,-1,1,-1,0,1
936954,812,none,o,-1,o,o,o,o
936956,2092,none,o,1,o,o,o,o
936957,2177,none,o,-1,o,o,o,o
936959,1632,none,x,-1,1,-1,1,1
936960,1441,none,-1,-1,-1,o,o,o
