"family","name_pt"
"Struthionidae",
"Rheidae",
"Casuariidae",
"Dromaiidae",
"Apterygidae",
"Tinamidae",
"Anhimidae",
"Anatidae","Gansos. Patos e afins"
"Megapodiidae",
"Cracidae",
"Numididae",
"Odontophoridae",
"Phasianidae","Perdizes, Codornizes e afins"
"Gaviidae","Mobelhas"
"Podicipedidae","Mergulhões"
"Phoenicopteridae","Flamingoes"
"Spheniscidae","Pinguins"
"Diomedeidae","Albatrozes"
"Procellariidae","Pombaletes e Pardelas"
"Hydrobatidae","Painhos"
"Pelecanoididae",
"Phaethontidae","Rabijuncos"
"Ciconiidae","Cegonhas"
"Fregatidae","Frigatebirds"
"Sulidae","Alcatrazes"
"Phalacrocoracidae","Corvos-marinhos"
"Anhingidae",
"Pelecanidae","Pelicanos"
"Balaenicipitidae",
"Scopidae",
"Ardeidae","Garças"
"Threskiornithidae","Íbises e Colheiros"
"Cathartidae",
"Sagittariidae",
"Pandionidae","Águias, Abutres e afins"
"Accipitridae","Águias, Abutres e afins"
"Otididae","Abetardas"
"Mesitornithidae",
"Rhynochetidae",
"Eurypygidae",
"Rallidae","Toirões"
"Sarothruridae",
"Heliornithidae",
"Aramidae",
"Psophiidae",
"Gruidae","Grous"
"Chionidae",
"Pluvianellidae",
"Burhinidae","Alcaravões"
"Pluvianidae",
"Recurvirostridae","Alfaiates e Pernilongos"
"Ibidorhynchidae",
"Haematopodidae","Ostraceiros"
"Charadriidae","Borrelhos, Tarambolas e Abibes"
"Pedionomidae",
"Thinocoridae",
"Rostratulidae",
"Jacanidae",
"Scolopacidae","Pilritos, Maçaricos e afins"
"Turnicidae","Toirões"
"Dromadidae",
"Glareolidae","Perdizes-do-mar e Corredeiras"
"Stercorariidae","Moleiros"
"Alcidae","Airos, Tordas e afins"
"Laridae","Gaivotas"
"Pteroclidae",
"Columbidae","Pombos e Rolas"
"Musophagidae",
"Opisthocomidae",
"Cuculidae","Cucos"
"Tytonidae","Corujas-das-torres"
"Strigidae","Mochos, Corujas e Bufos"
"Aegothelidae",
"Podargidae",
"Caprimulgidae","Noitibós e afins"
"Nyctibiidae",
"Steatornithidae",
"Apodidae","Andorinhões"
"Hemiprocnidae",
"Trochilidae",
"Coliidae",
"Trogonidae",
