genus
Anser
Branta
Cygnus
Alopochen
Tadorna
Cairina
Aix
Anas
Marmaronetta
Netta
Aythya
Somateria
Melanitta
Clangula
Bucephala
Mergus
Oxyura
Alectoris
Perdix
Coturnix
Phasianus
Gavia
Tachybaptus
Podiceps
Phoenicopterus
Thalassarche
Fulmarus
Pterodroma
Bulweria
Calonectris
Puffinus
Oceanites
Hydrobates
Oceanodroma
Ciconia
Leptoptilos
Sula
Morus
Phalacrocorax
Pelecanus
Botaurus
Ixobrychus
Ardea
Egretta
Bubulcus
Ardeola
Nycticorax
Plegadis
Threskiornis
Geronticus
Platalea
Pandion
Elanus
Gypaetus
Neophron
Pernis
Aegypius
Gyps
Circaetus
Clanga
Hieraaetus
Aquila
Circus
Accipiter
Milvus
Buteo
Otis
Tetrax
Crex
Rallus
Porzana
Porphyrio
Gallinula
Fulica
Anthropoides
Grus
Burhinus
Himantopus
Recurvirostra
Haematopus
Pluvialis
Vanellus
Charadrius
Xenus
Actitis
Tringa
Bartramia
Numenius
Limosa
Arenaria
Calidris
Limnodromus
Lymnocryptes
Gallinago
Scolopax
Phalaropus
Turnix
Cursorius
Glareola
Stercorarius
Alcidae
Alle
Uria
Alca
Fratercula
Rissa
Xema
Chroicocephalus
Hydrocoloeus
Leucophaeus
Ichthyaetus
Larus
Onychoprion
Sternula
Gelochelidon
Hydroprogne
Chlidonias
Sterninae
Sterna
Thalasseus
Pterocles
Columba
Streptopelia
Geopelia
Clamator
Cuculus
Tyto
Otus
Bubo
Athene
Strix
Asio
Caprimulgus
Chaetura
Apus
Alcedo
Merops
Coracias
Upupa
Jynx
Dendrocopos
Dryocopus
Picus
Falco
Nymphicus
Eos
Melopsittacus
Psittacula
Poicephalus
Myiopsitta
Aratinga
Passeriform
Lanius
Oriolus
Garrulus
Cyanopica
Pica
Nucifraga
Pyrrhocorax
Corvus
Alaudidae
Chersophilus
Melanocorypha
Calandrella
Galerida
Alauda
Lullula
Riparia
Ptyonoprogne
Hirundo
Cecropis
Delichon
Periparus
Lophophanes
Parus
Cyanistes
Remiz
Aegithalos
Sitta
Tichodroma
Certhia
Troglodytes
Cinclus
Regulus
Cettia
Phylloscopus
Iduna
Hippolais
Acrocephalus
Locustella
Cisticola
Sylvia
Muscicapa
Cercotrichas
Erithacus
Luscinia
Ficedula
Phoenicurus
Monticola
Saxicola
Oenanthe
Turdus
Acridotheres
Pastor
Sturnus
Prunella
Motacilla
Anthus
Bombycilla
Calcarius
Plectrophenax
Geothlypis
Emberiza
Fringilla
Bucanetes
Pyrrhula
Carpodacus
Chloris
Loxia
Acanthis
Spinus
Carduelis
Serinus
Coccothraustes
Passer
Petronia
Montifringilla
Ploceus
Euplectes
Estrilda
Amandava
Lonchura
