genus
Anser
Branta
Tadorna
Cairina
Anas
Marmaronetta
Aythya
Melanitta
Clangula
Bucephala
Mergus
Numida
Alectoris
Coturnix
Phasianus
Gavia
Tachybaptus
Podiceps
Pterodroma
Bulweria
Calonectris
Puffinus
Oceanites
Pelagodroma
Hydrobates
Oceanodroma
Phaethon
Ciconia
Sula
Morus
Phalacrocorax
Botaurus
Ixobrychus
Ardea
Egretta
Bubulcus
Ardeola
Nycticorax
Nyctanassa
Plegadis
Platalea
Pandion
Pernis
Hieraaetus
Circus
Accipiter
Milvus
Buteo
Tetrax
Crex
Rallus
Amaurornis
Porzana
Porphyrio
Gallinula
Fulica
Grus
Burhinus
Himantopus
Recurvirostra
Haematopus
Pluvialis
Vanellus
Charadrius
Actitis
Tringa
Bartramia
Numenius
Limosa
Arenaria
Calidris
Lymnocryptes
Gallinago
Scolopax
Phalaropus
Cursorius
Glareola
Stercorarius
Alle
Fratercula
Rissa
Xema
Chroicocephalus
Hydrocoloeus
Leucophaeus
Ichthyaetus
Larus
Onychoprion
Sternula
Gelochelidon
Hydroprogne
Chlidonias
Sterna
Thalasseus
Columba
Streptopelia
Clamator
Cuculus
Tyto
Otus
Asio
Caprimulgus
Chaetura
Apus
Alcedo
Merops
Coracias
Upupa
Jynx
Falco
Psittacula
Lanius
Oriolus
Corvus
Melanocorypha
Calandrella
Alauda
Riparia
Ptyonoprogne
Hirundo
Cecropis
Petrochelidon
Delichon
Troglodytes
Regulus
Phylloscopus
Iduna
Hippolais
Acrocephalus
Locustella
Sylvia
Muscicapa
Cercotrichas
Erithacus
Luscinia
Ficedula
Phoenicurus
Monticola
Saxicola
Oenanthe
Hylocichla
Turdus
Pastor
Sturnus
Motacilla
Anthus
Plectrophenax
Setophaga
Emberiza
Fringilla
Bucanetes
Chloris
Loxia
Spinus
Carduelis
Serinus
Coccothraustes
Passer
Petronia
Estrilda
Amandava
