"id","order","family","genus"
1,"Struthioniformes","Struthionidae","Struthio"
2,"Struthioniformes","Rheidae","Rhea"
3,"Struthioniformes","Casuariidae","Casuarius"
4,"Struthioniformes","Dromaiidae","Dromaius"
5,"Struthioniformes","Apterygidae","Apteryx"
6,"Tinamiformes","Tinamidae","Nothocercus"
7,"Tinamiformes","Tinamidae","Tinamus"
8,"Tinamiformes","Tinamidae","Crypturellus"
9,"Tinamiformes","Tinamidae","Rhynchotus"
10,"Tinamiformes","Tinamidae","Nothoprocta"
11,"Tinamiformes","Tinamidae","Nothura"
12,"Tinamiformes","Tinamidae","Taoniscus"
13,"Tinamiformes","Tinamidae","Eudromia"
14,"Tinamiformes","Tinamidae","Tinamotis"
15,"Anseriformes","Anhimidae","Anhima"
16,"Anseriformes","Anhimidae","Chauna"
17,"Anseriformes","Anatidae","Anseranas"
18,"Anseriformes","Anatidae","Dendrocygna"
19,"Anseriformes","Anatidae","Thalassornis"
20,"Anseriformes","Anatidae","Anser"
21,"Anseriformes","Anatidae","Chen"
22,"Anseriformes","Anatidae","Branta"
23,"Anseriformes","Anatidae","Cereopsis"
24,"Anseriformes","Anatidae","Stictonetta"
25,"Anseriformes","Anatidae","Cyanochen"
26,"Anseriformes","Anatidae","Cygnus"
27,"Anseriformes","Anatidae","Coscoroba"
28,"Anseriformes","Anatidae","Sarkidiornis"
29,"Anseriformes","Anatidae","Pteronetta"
30,"Anseriformes","Anatidae","Chloephaga"
31,"Anseriformes","Anatidae","Neochen"
32,"Anseriformes","Anatidae","Alopochen"
33,"Anseriformes","Anatidae","Tadorna"
34,"Anseriformes","Anatidae","Plectropterus"
35,"Anseriformes","Anatidae","Tachyeres"
36,"Anseriformes","Anatidae","Lophonetta"
37,"Anseriformes","Anatidae","Speculanas"
38,"Anseriformes","Anatidae","Cairina"
39,"Anseriformes","Anatidae","Nettapus"
40,"Anseriformes","Anatidae","Callonetta"
41,"Anseriformes","Anatidae","Aix"
42,"Anseriformes","Anatidae","Chenonetta"
43,"Anseriformes","Anatidae","Amazonetta"
44,"Anseriformes","Anatidae","Hymenolaimus"
45,"Anseriformes","Anatidae","Merganetta"
46,"Anseriformes","Anatidae","Salvadorina"
47,"Anseriformes","Anatidae","Anas"
48,"Anseriformes","Anatidae","Malacorhynchus"
49,"Anseriformes","Anatidae","Marmaronetta"
50,"Anseriformes","Anatidae","Rhodonessa"
51,"Anseriformes","Anatidae","Netta"
52,"Anseriformes","Anatidae","Aythya"
53,"Anseriformes","Anatidae","Polysticta"
54,"Anseriformes","Anatidae","Somateria"
55,"Anseriformes","Anatidae","Histrionicus"
56,"Anseriformes","Anatidae","Camptorhynchus"
57,"Anseriformes","Anatidae","Melanitta"
58,"Anseriformes","Anatidae","Clangula"
59,"Anseriformes","Anatidae","Bucephala"
60,"Anseriformes","Anatidae","Mergellus"
61,"Anseriformes","Anatidae","Lophodytes"
62,"Anseriformes","Anatidae","Mergus"
63,"Anseriformes","Anatidae","Heteronetta"
64,"Anseriformes","Anatidae","Nomonyx"
65,"Anseriformes","Anatidae","Oxyura"
66,"Anseriformes","Anatidae","Biziura"
67,"Galliformes","Megapodiidae","Alectura"
68,"Galliformes","Megapodiidae","Aepypodius"
69,"Galliformes","Megapodiidae","Talegalla"
70,"Galliformes","Megapodiidae","Leipoa"
71,"Galliformes","Megapodiidae","Macrocephalon"
72,"Galliformes","Megapodiidae","Megapodius"
73,"Galliformes","Cracidae","Ortalis"
74,"Galliformes","Cracidae","Penelope"
75,"Galliformes","Cracidae","Pipile"
76,"Galliformes","Cracidae","Aburria"
77,"Galliformes","Cracidae","Chamaepetes"
78,"Galliformes","Cracidae","Penelopina"
79,"Galliformes","Cracidae","Oreophasis"
80,"Galliformes","Cracidae","Nothocrax"
81,"Galliformes","Cracidae","Mitu"
82,"Galliformes","Cracidae","Pauxi"
83,"Galliformes","Cracidae","Crax"
84,"Galliformes","Numididae","Agelastes"
85,"Galliformes","Numididae","Numida"
86,"Galliformes","Numididae","Guttera"
87,"Galliformes","Numididae","Acryllium"
88,"Galliformes","Odontophoridae","Ptilopachus"
89,"Galliformes","Odontophoridae","Dendrortyx"
90,"Galliformes","Odontophoridae","Oreortyx"
91,"Galliformes","Odontophoridae","Callipepla"
92,"Galliformes","Odontophoridae","Philortyx"
93,"Galliformes","Odontophoridae","Colinus"
94,"Galliformes","Odontophoridae","Odontophorus"
95,"Galliformes","Odontophoridae","Dactylortyx"
96,"Galliformes","Odontophoridae","Cyrtonyx"
97,"Galliformes","Odontophoridae","Rhynchortyx"
98,"Galliformes","Phasianidae","Alectoris"
99,"Galliformes","Phasianidae","Lerwa"
100,"Galliformes","Phasianidae","Tetraophasis"
101,"Galliformes","Phasianidae","Tetraogallus"
102,"Galliformes","Phasianidae","Francolinus"
103,"Galliformes","Phasianidae","Ammoperdix"
104,"Galliformes","Phasianidae","Perdix"
105,"Galliformes","Phasianidae","Rhizothera"
106,"Galliformes","Phasianidae","Margaroperdix"
107,"Galliformes","Phasianidae","Melanoperdix"
108,"Galliformes","Phasianidae","Coturnix"
109,"Galliformes","Phasianidae","Anurophasis"
110,"Galliformes","Phasianidae","Perdicula"
111,"Galliformes","Phasianidae","Ophrysia"
112,"Galliformes","Phasianidae","Xenoperdix"
113,"Galliformes","Phasianidae","Arborophila"
114,"Galliformes","Phasianidae","Caloperdix"
