genus
Struthio
Dendrocygna
Cygnus
Anser
Chen
Branta
Alopochen
Tadorna
Plectropterus
Sarkidiornis
Nettapus
Aix
Anas
Marmaronetta
Netta
Aythya
Somateria
Polysticta
Histrionicus
Clangula
Melanitta
Bucephala
Mergellus
Lophodytes
Mergus
Oxyura
Bonasa
Lagopus
Tetrao
Callipepla
Colinus
Tetraogallus
Alectoris
Ammoperdix
Francolinus
Perdix
Coturnix
Syrmaticus
Phasianus
Chrysolophus
Numida
Gavia
Podilymbus
Tachybaptus
Podiceps
Thalassarche
Diomedea
Macronectes
Fulmarus
Daption
Pterodroma
Bulweria
Calonectris
Puffinus
Oceanites
Pelagodroma
Fregetta
Hydrobates
Oceanodroma
Phaethon
Sula
Morus
Phalacrocorax
Anhinga
Pelecanus
Fregata
Botaurus
Ixobrychus
Nycticorax
Nyctanassa
Butorides
Ardeola
Bubulcus
Egretta
Mesophoyx
Ardea
Mycteria
Anastomus
Ciconia
Leptoptilos
Plegadis
Geronticus
Threskiornis
Platalea
Phoenicopterus
Pernis
Elanoides
Elanus
Milvus
Haliaeetus
Gypaetus
Neophron
Necrosyrtes
Gyps
Torgos
Aegypius
Circaetus
Terathopius
Circus
Melierax
Micronisus
Accipiter
Buteo
Clanga
Aquila
Hieraaetus
Pandion
Falco
Rallus
Porzana
Aenigmatolimnas
Crecopsis
Crex
Gallinula
Porphyrio
Fulica
Turnix
Grus
Anthropoides
Tetrax
Neotis
Chlamydotis
Ardeotis
Otis
Rostratula
Haematopus
Himantopus
Recurvirostra
Dromas
Burhinus
Pluvianus
Cursorius
Glareola
Charadrius
Pluvialis
Vanellus
Calidris
Lymnocryptes
Gallinago
Limnodromus
Scolopax
Limosa
Numenius
Bartramia
Xenus
Actitis
Tringa
Arenaria
Phalaropus
Stercorarius
Ichthyaetus
Leucophaeus
Chroicocephalus
Larus
Rhodostethia
Rissa
Pagophila
Xema
Hydrocoloeus
Gelochelidon
Hydroprogne
Thalasseus
Sterna
Onychoprion
Sternula
Chlidonias
Anous
Rynchops
Uria
Alca
Pinguinus
Cepphus
Brachyramphus
Synthliboramphus
Alle
Aethia
Fratercula
Pterocles
Syrrhaptes
Columba
Streptopelia
Oena
Zenaida
Treron
Psittacula
Agapornis
Nandayus
Myiopsitta
Clamator
Chrysococcyx
Cuculus
Coccyzus
Eudynamys
Centropus
Tyto
Otus
Bubo
Ketupa
Surnia
Glaucidium
Athene
Strix
Asio
Aegolius
Caprimulgus
Chordeiles
Chaetura
Hirundapus
Apus
Cypsiurus
Urocolius
Halcyon
Alcedo
Ceryle
Megaceryle
Merops
Coracias
Eurystomus
Upupa
Jynx
Colaptes
Picus
Dryocopus
Sphyrapicus
Dendrocopos
Picoides
Sayornis
Empidonax
Tyrannus
Eremopterix
Eremalauda
Ammomanes
Alaemon
Chersophilus
Ramphocoris
Melanocorypha
Calandrella
Galerida
Lullula
Alauda
Eremophila
Riparia
Tachycineta
Progne
Ptyonoprogne
Hirundo
Delichon
Cecropis
Petrochelidon
Anthus
Dendronanthus
Motacilla
Pycnonotus
Bombycilla
Hypocolius
Cinclus
Troglodytes
Mimus
Toxostoma
Dumetella
Prunella
Cercotrichas
Erithacus
Larvivora
Luscinia
Calliope
Tarsiger
Irania
Phoenicurus
Cercomela
Saxicola
Myrmecocichla
Oenanthe
Monticola
Zoothera
Ixoreus
Hylocichla
Catharus
Geokichla
Turdus
Cettia
Cisticola
Prinia
Spiloptila
Scotocerca
Locustella
Iduna
Hippolais
Acrocephalus
Sylvia
Phylloscopus
Regulus
Muscicapa
Ficedula
Panurus
Sinosuthora
Turdoides
Leiothrix
Aegithalos
Poecile
Lophophanes
Periparus
Cyanistes
Parus
Sitta
Tichodroma
Certhia
Remiz
Hedydipna
Cinnyris
Oriolus
Tchagra
Lanius
Dicrurus
Garrulus
Perisoreus
Cyanopica
Pica
Nucifraga
Pyrrhocorax
Corvus
Onychognathus
Sturnus
Pastor
Sturnia
Acridotheres
Passer
Carpospiza
Petronia
Montifringilla
Ploceus
Euplectes
Lagonosticta
Estrilda
Amandava
Euodice
Lonchura
Vireo
Fringilla
Serinus
Chloris
Carduelis
Spinus
Acanthis
Loxia
Rhodopechys
Rhodospiza
Bucanetes
Carpodacus
Pinicola
Uragus
Pyrrhula
Coccothraustes
Mniotilta
Vermivora
Oreothlypis
Setophaga
Seiurus
Parkesia
Geothlypis
Cardellina
Piranga
Pipilo
Chondestes
Passerculus
Passerella
Melospiza
Zonotrichia
Junco
Calcarius
Plectrophenax
Emberiza
Spiza
Pheucticus
Passerina
Dolichonyx
Molothrus
Xanthocephalus
Icterus
