Active wells (% of wells with activity >= 5)
Category	AK58	AK83	BL225C	Rm1021
carbon	38.5416666667	40.625	46.875	54.1666666667
nitrogen	N/A	N/A	N/A	N/A
phosphate_and_sulphur	N/A	N/A	N/A	N/A
nutrient_stimulation	N/A	N/A	N/A	N/A
nitrogen_peptides	N/A	N/A	N/A	N/A
osmolytes_and_ph	17.7083333333	20.8333333333	21.875	23.9583333333
chemicals	N/A	N/A	N/A	N/A
