#Element_Name phi rho vol z valence TM? RtoP Htrans(kJ/mol)
H  5.20 1.50 1.42 1 1 0 0.0 100
D
T
He
Li 2.85 0.98 5.53 3 1 0 0.0 0
Be 5.05 1.67 2.88 4 2 0 0.4 0
B  5.30 1.75 2.80 5 3 0 1.9 30
C  6.24 1.77 2.20 6 4 0 2.1 180
N  6.86 1.65 2.56 7 3 0 2.3 310
O
F
Ne
Na 2.70 0.82 8.27 11 1 0 0.0 0
Mg 3.45 1.17 5.81 12 2 0 0.4 0
Al 4.20 1.39 4.64 13 3 0 1.9 0
Si 4.70 1.50 4.20 14 4 0 2.1 34
P  5.55 1.65 4.15 15 5 0 2.3 17
S
Cl
Ar
K  2.25 0.65 12.77 19 1 0 0.0 0
Ca 2.55 0.91 8.82 20 2 0 0.4 0
Sc 3.25 1.27 6.09 21 3 1 0.7 0
Ti 3.80 1.52 4.82 22 4 1 1.0 0
V  4.25 1.64 4.12 23 5 1 1.0 0
Cr 4.65 1.73 3.74 24 6 1 1.0 0
Mn 4.45 1.61 3.78 25 7 1 1.0 0
Fe 4.93 1.77 3.69 26 8 1 1.0 0
Co 5.10 1.75 3.55 27 9 1 1.0 0
Ni 5.20 1.75 3.52 28 10 1 1.0 0
Cu 4.45 1.47 3.70 29 11 1 0.3 0
Zn 4.10 1.32 4.38 30 12 0 1.4 0
Ga 4.10 1.31 5.19 31 3 0 1.9 0
Ge 4.55 1.37 4.60 32 4 0 2.1 25
As 4.80 1.44 5.20 33 5 0 2.3 0
Se 
Br
Kr
Rb 2.10 0.60 14.65 37 1 0 0.0 0
Sr 2.40 0.84 10.48 38 2 0 0.4 0
Y  3.20 1.21 7.34 39 3 1 0.7 0
Zr 3.45 1.41 5.81 40 4 1 1.0 0
Nb 4.05 1.64 4.89 41 5 1 1.0 0
Mo 4.65 1.77 4.45 42 6 1 1.0 0
Tc 5.30 1.81 4.21 43 7 1 1.0 0
Ru 5.40 1.83 4.06 44 8 1 1.0 0
Rh 5.40 1.76 4.10 45 9 1 1.0 0
Pd 5.45 1.67 4.29 46 10 1 1.0 0
Ag 4.35 1.36 4.72 47 11 1 0.15 0
Cd 4.05 1.24 5.53 48 12 0 1.4 0
In 3.90 1.17 6.28 49 3 0 1.9 0
Sn 4.15 1.24 6.43 50 4 0 2.1 0
Sb 4.40 1.26 6.60 51 5 0 2.3 0
Te 
I
Xe
Cs 1.95 0.55 16.86 55 1 0 0.0 0
Ba 2.32 0.81 11.32 56 2 0 0.4 0
La 3.17 1.18 7.98 57 3 1 0.7 0
Hf 3.60 1.45 5.65 72 4 1 1.0 0
Ta 4.05 1.63 4.89 73 5 1 1.0 0
W  4.80 1.81 4.50 74 6 1 1.0 0
Re 5.20 1.85 4.28 75 7 1 1.0 0
Os 5.40 1.85 4.15 76 8 1 1.0 0
Ir 5.55 1.83 4.17 77 9 1 1.0 0
Pt 5.65 1.78 4.36 78 10 1 1.0 0
Au 5.15 1.57 4.70 79 11 1 0.3 0
Hg 4.20 1.24 5.83 80 12 0 1.4 0
Tl 3.90 1.12 6.67 81 3 0 1.9 0
Pb 4.10 1.15 6.94 82 4 0 2.1 0
Bi 4.15 1.16 7.20 83 5 0 2.3 0
Po
At
Rn
Fr
Ra
Ac
Rf
Db
Sg
Bh
Hs
Mt
Ds
Rg
# Lanthanoids have varying valences
Ce 3.18 1.19 7.76 58 4 1 0.0 0
#Ce4 3.25 1.34 6.36 58 4 1 0.0 0
Pr 3.19 1.20 7.56 59 5 1 0.0 0
Nd 3.19 1.20 7.51 60 6 1 0.0 0
Pm 3.19 1.21 7.43 61 7 1 0.0 0
Sm 3.20 1.21 7.37 62 8 1 0.0 0
Eu 2.50 0.88 9.43 63 9 0 0.0 0
#Eu3 3.20 1.21 7.36 63 9 1 0.0 0
Gd 3.20 1.21 7.34 64 10 1 0.0 0
Tb 3.21 1.22 7.20 65 11 1 0.0 0
Dy 3.21 1.22 7.12 66 12 1 0.0 0
Ho 3.22 1.22 7.06 67 13 1 0.0 0
Er 3.22 1.23 6.98 68 14 1 0.0 0
Tm 3.22 1.23 6.90 69 15 1 0.0 0
Yb 2.58 0.92 8.52 70 16 0 0.0 0
#Yb3 3.22 1.23 6.86 70 16 1 0.0 0
Lu 3.22 1.24 6.81 71 17 1 0.0 0
Th 3.30 1.28 7.32 90 4 1 0.7 0
Pa
U  3.90 1.51 5.57 92 6 1 1.0 0
Np 
Pu 3.80 1.44 5.26 94 7 1 1.0 0
Am
Cm
Bk
Cf
Es
Fm
Md
No
Lr
